Step,Reward
30,-1.5031
62,0.1968
88,-2.7016
122,-2.1034
154,-4.4017
182,0.9977
212,-0.6010
241,-0.9014
286,-5.5045
295,-0.9004
320,-0.1015
340,3.5990
365,0.8000
390,2.2985
428,-5.5028
457,0.4986
463,-1.2006
499,-3.8016
523,0.1001
563,-6.4035
589,0.1989
624,-2.6025
651,-1.0022
675,-0.1019
704,-0.9014
748,-7.7034
767,4.7981
783,-1.1011
787,-0.1004
807,3.5980
827,2.3000
864,-2.5037
898,-3.8029
923,3.4985
955,-1.4032
981,-1.6006
1008,-0.5017
1016,-0.9008
1044,-2.2003
1059,-1.6005
1090,-0.8031
1119,-1.4014
1131,2.5988
1155,-1.3019
1192,-5.3037
1203,-1.5011
1233,-1.6015
1269,-2.5036
1294,0.1975
1314,1.8985
1332,4.9982
1369,-3.9032
1395,-1.5011
1415,1.3990
1418,0.0997
1457,-6.0034
1474,-1.3017
1500,0.3994
1519,4.2981
1537,-0.8013
1546,-1.1009
1568,-0.5007
1594,-0.0021
1610,-2.0016
1637,-2.6017
1665,-4.3993
1706,-5.2041
1734,-2.1018
1762,0.4982
1789,-1.2012
1821,-1.0017
1834,5.4987
1867,-1.9028
1890,0.5987
1916,0.6974
1947,-1.0026
1979,-3.2022
2010,-2.3006
2039,-3.5989
2066,-2.4017
2093,1.6978
2120,-1.2017
2142,0.2998
2170,-0.2023
2188,3.2987
2222,-1.8034
2255,-4.0033
2278,0.0992
2298,0.9980
2314,2.4014
2344,-3.0010
2373,-1.6024
2394,-2.8021
2425,-1.5026
2459,-3.3024
2478,2.0991
2480,0.2998
2511,-0.9021
2531,3.0990
2563,-3.3032
2600,-4.9022
2631,-2.4031
2662,0.6969
2692,-2.7030
2704,0.6988
2717,-0.0013
2745,-2.8023
2770,-2.2995
2804,-2.3034
2839,-4.7025
2869,-2.0020
2901,-3.9017
2903,0.2998
2919,3.3994
2948,-1.1024
2970,0.7978
2991,0.9984
3023,-2.2022
3056,-1.9023
3084,-0.6028
3088,-0.8004
3114,0.4974
3147,-4.0033
3166,5.2981
3169,-0.6003
3186,2.7983
3216,-1.5030
3239,1.4992
3263,1.0986
3280,6.8983
3306,1.1984
3327,3.1979
3356,-0.1029
3381,-1.5015
3408,-0.4027
3434,3.5974
3459,-1.5010
3488,-4.0004
3517,-1.8019
3544,-1.1027
3563,5.4981
3592,-1.3024
3617,0.6975
3642,-0.8020
3665,-0.3998
3677,-1.7012
3694,3.9983
3720,0.1974
3744,0.8976
3767,-2.3013
3780,-0.7013
3801,1.6999
3830,-2.1019
3858,-2.5028
3878,2.0995
3908,-2.3025
3935,0.5973
3958,2.9977
3990,-3.1027
4020,2.2975
4044,-0.3024
4073,1.7971
4099,-0.3016
4120,1.1989
4151,0.1979
4171,3.3000
4194,0.2987
4215,1.9979
4249,-4.2034
4281,-2.5002
4311,-2.5030
4326,-0.9010
4346,1.8985
4379,-1.4028
4410,-2.0031
4432,0.7988
4440,-0.4008
4469,0.4986
4477,-0.9008
4504,0.9973
4534,-2.9030
4559,1.3975
4586,-1.2022
4617,-2.0026
4643,0.6974
4667,0.2976
4692,0.3990
4719,0.1993
4739,1.3980
4771,-1.2032
4804,-3.1018
4832,-2.3028
4866,-3.3019
4888,1.2978
4914,0.4974
4942,-0.9028
4971,0.5971
4990,0.5991
5014,-0.1024
5039,-2.0010
5063,0.8976
5090,0.4973
5099,-1.6004
5133,-3.6009
5155,0.6993
5166,-1.0011
5193,0.9978
5212,2.7996
5236,0.8986
5263,3.0978
5290,-1.4017
5321,-1.7021
5349,1.8982
5374,-0.3025
5392,5.3982
5420,-0.6028
5452,-4.9007
5469,1.7993
5499,0.0990
5525,-2.2026
5548,1.2987
5583,-1.1030
5607,1.3976
5632,-0.6015
5654,0.9993
5671,4.5998
5697,-1.9021
5719,2.3998
5748,-2.8029
5775,1.6973
5782,-0.0007
5805,2.4977
5821,-1.6011
5849,-1.4018
5883,-3.1029
5901,2.0982
5935,-1.4029
5956,0.8999
5986,0.5975
5999,4.5002
6007,-0.9008
6031,0.5986
6048,1.5008
6074,2.8974
6096,0.7993
6116,2.6000
6150,-2.1019
6173,-0.1993
6184,0.1989
6216,0.8973
6244,-1.6018
6278,-0.9019
6295,0.2023
6313,1.3002
6340,-0.2022
6365,-1.6010
6384,1.0996
6399,3.1985
6422,-0.1013
6448,1.1974
6454,-0.9996
6483,1.4976
6509,-1.3011
6530,1.1999
6560,-2.8010
6568,-0.2008
6589,-0.0996
6593,-0.8004
6601,-1.1993
