Config,Final Accuracy (%),Steps to 80%,Max Avg100 Reward,Post-conv Std (Sigma),N seeds
coach_config,66.2%,8k,4.72,0.72,1
config1,61.3%,11k,4.27,0.78,1
config1 (2),61.8%,16k,4.28,0.74,1
config1 (3),65.9%,10k,4.34,0.76,1
config2,52.6%,27k,3.42,0.61,1
config2 (2),48.5%,36k,3.15,0.56,1
config2 (3),51.5%,35k,3.27,0.55,1
config3,65.0%,7k,4.64,0.65,1
config3 (2),66.4%,8k,4.72,0.72,1
config3 (3),64.2%,6k,4.72,0.76,1
config4,66.4%,9k,4.50,0.72,1
config4 (2),65.8%,6k,4.61,0.80,1
config4 (3),62.5%,10k,4.44,0.70,1
config5,57.5%,21k,3.98,0.62,1
config5 (2),55.9%,28k,3.91,0.62,1
config5 (3),58.0%,20k,4.02,0.72,1
config6,56.1%,32k,3.70,0.77,1
config6 (2),51.8%,26k,3.45,0.81,1
config6 (3),54.5%,48k,3.47,0.65,1
config7,64.2%,8k,4.43,0.74,1
config7 (2),63.8%,15k,4.44,0.62,1
config7 (3),62.6%,12k,4.34,0.61,1
config8,59.3%,19k,4.33,0.70,1
config8 (2),54.8%,19k,3.83,0.65,1
config8 (3),58.9%,18k,4.09,0.74,1
config9,65.2%,9k,4.50,0.81,1
config9 (2),62.6%,11k,4.51,0.70,1
config9 (3),65.5%,9k,4.32,0.82,1
config10,60.9%,13k,4.42,0.75,1
config10 (2),58.2%,16k,4.37,0.74,1
config10 (3),61.5%,14k,4.22,0.75,1
