
Training on cuda | logs -> training_logs/run_seed41_config3_resumed_20260523_013141
Config: ..\..\configs\config3.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode     0 | Steps:      40 | Reward:   0.097 | Avg(100):   0.097 | Entropy: 0.1000 | Acc: 17.1% (7+ 34-) | Lifetime: 17.1%
Episode     1 | Steps:      81 | Reward:   0.098 | Avg(100):   0.097 | Entropy: 0.1000 | Acc: 19.5% (8+ 33-) | Lifetime: 18.3%
Episode     2 | Steps:     111 | Reward:   1.798 | Avg(100):   0.664 | Entropy: 0.1000 | Acc: 26.7% (8+ 22-) | Lifetime: 20.5%
Episode     3 | Steps:     143 | Reward:  -0.902 | Avg(100):   0.273 | Entropy: 0.1000 | Acc: 21.9% (7+ 25-) | Lifetime: 20.8%
Episode     4 | Steps:     177 | Reward:  -0.201 | Avg(100):   0.178 | Entropy: 0.1000 | Acc: 23.5% (8+ 26-) | Lifetime: 21.3%
Episode     5 | Steps:     239 | Reward:  -6.004 | Avg(100):  -0.852 | Entropy: 0.1000 | Acc: 11.3% (7+ 55-) | Lifetime: 18.8%
Episode     6 | Steps:     268 | Reward:   0.299 | Avg(100):  -0.688 | Entropy: 0.0999 | Acc: 27.6% (8+ 21-) | Lifetime: 19.7%
Episode     7 | Steps:     289 | Reward:   1.801 | Avg(100):  -0.377 | Entropy: 0.0999 | Acc: 42.9% (9+ 12-) | Lifetime: 21.4%
Episode     8 | Steps:     334 | Reward:  -3.104 | Avg(100):  -0.680 | Entropy: 0.0999 | Acc: 11.1% (5+ 40-) | Lifetime: 20.0%
Episode     9 | Steps:     369 | Reward:  -1.603 | Avg(100):  -0.772 | Entropy: 0.0999 | Acc: 17.1% (6+ 29-) | Lifetime: 19.7%
Episode    10 | Steps:     400 | Reward:  -1.000 | Avg(100):  -0.793 | Entropy: 0.0999 | Acc: 25.8% (8+ 23-) | Lifetime: 20.2%
Episode    11 | Steps:     436 | Reward:  -1.602 | Avg(100):  -0.860 | Entropy: 0.0999 | Acc: 19.4% (7+ 29-) | Lifetime: 20.1%
Episode    12 | Steps:     465 | Reward:   3.097 | Avg(100):  -0.556 | Entropy: 0.0999 | Acc: 31.0% (9+ 20-) | Lifetime: 20.8%
Episode    13 | Steps:     495 | Reward:  -0.502 | Avg(100):  -0.552 | Entropy: 0.0999 | Acc: 23.3% (7+ 23-) | Lifetime: 21.0%
  [Step 500] Action dist: A0:23% | A1:19% | A2:13% | A3:27% | A4:18%
Episode    14 | Steps:     549 | Reward:  -3.905 | Avg(100):  -0.776 | Entropy: 0.0997 | Acc: 11.1% (6+ 48-) | Lifetime: 20.0%
Episode    15 | Steps:     585 | Reward:   0.299 | Avg(100):  -0.708 | Entropy: 0.0997 | Acc: 22.2% (8+ 28-) | Lifetime: 20.1%
Episode    16 | Steps:     620 | Reward:   0.497 | Avg(100):  -0.638 | Entropy: 0.0997 | Acc: 22.9% (8+ 27-) | Lifetime: 20.3%
Episode    17 | Steps:     655 | Reward:  -0.801 | Avg(100):  -0.647 | Entropy: 0.0997 | Acc: 22.9% (8+ 27-) | Lifetime: 20.4%
Episode    18 | Steps:     698 | Reward:   0.097 | Avg(100):  -0.607 | Entropy: 0.0997 | Acc: 18.6% (8+ 35-) | Lifetime: 20.3%
Episode    19 | Steps:     756 | Reward:  -4.805 | Avg(100):  -0.817 | Entropy: 0.0997 | Acc: 8.6% (5+ 53-) | Lifetime: 19.4%
Episode    20 | Steps:     782 | Reward:   2.398 | Avg(100):  -0.664 | Entropy: 0.0996 | Acc: 30.8% (8+ 18-) | Lifetime: 19.8%
Episode    21 | Steps:     837 | Reward:  -3.806 | Avg(100):  -0.807 | Entropy: 0.0996 | Acc: 10.9% (6+ 49-) | Lifetime: 19.2%
Episode    22 | Steps:     871 | Reward:   2.697 | Avg(100):  -0.655 | Entropy: 0.0996 | Acc: 23.5% (8+ 26-) | Lifetime: 19.4%
Episode    23 | Steps:     915 | Reward:   0.797 | Avg(100):  -0.594 | Entropy: 0.0996 | Acc: 22.7% (10+ 34-) | Lifetime: 19.5%
Episode    24 | Steps:     946 | Reward:   0.397 | Avg(100):  -0.554 | Entropy: 0.0996 | Acc: 22.6% (7+ 24-) | Lifetime: 19.6%
Episode    25 | Steps:     970 | Reward:   1.501 | Avg(100):  -0.475 | Entropy: 0.0996 | Acc: 37.5% (9+ 15-) | Lifetime: 20.1%
  [Step 1000] Action dist: A0:21% | A1:26% | A2:12% | A3:22% | A4:20%
Episode    26 | Steps:    1007 | Reward:   1.498 | Avg(100):  -0.402 | Entropy: 0.0996 | Acc: 27.0% (10+ 27-) | Lifetime: 20.3%
Episode    27 | Steps:    1044 | Reward:  -2.102 | Avg(100):  -0.463 | Entropy: 0.0995 | Acc: 18.9% (7+ 30-) | Lifetime: 20.3%
Episode    28 | Steps:    1073 | Reward:   1.199 | Avg(100):  -0.406 | Entropy: 0.0995 | Acc: 27.6% (8+ 21-) | Lifetime: 20.5%
Episode    29 | Steps:    1112 | Reward:  -1.203 | Avg(100):  -0.432 | Entropy: 0.0995 | Acc: 12.8% (5+ 34-) | Lifetime: 20.2%
Episode    30 | Steps:    1144 | Reward:  -1.802 | Avg(100):  -0.477 | Entropy: 0.0995 | Acc: 12.5% (4+ 28-) | Lifetime: 20.0%
Episode    31 | Steps:    1179 | Reward:   0.997 | Avg(100):  -0.430 | Entropy: 0.0995 | Acc: 22.9% (8+ 27-) | Lifetime: 20.1%
Episode    32 | Steps:    1211 | Reward:   0.597 | Avg(100):  -0.399 | Entropy: 0.0995 | Acc: 21.9% (7+ 25-) | Lifetime: 20.1%
Episode    33 | Steps:    1251 | Reward:   0.198 | Avg(100):  -0.382 | Entropy: 0.0995 | Acc: 20.0% (8+ 32-) | Lifetime: 20.1%
Episode    34 | Steps:    1285 | Reward:  -1.800 | Avg(100):  -0.422 | Entropy: 0.0993 | Acc: 20.6% (7+ 27-) | Lifetime: 20.1%
Episode    35 | Steps:    1318 | Reward:   1.498 | Avg(100):  -0.369 | Entropy: 0.0993 | Acc: 24.2% (8+ 25-) | Lifetime: 20.2%
Episode    36 | Steps:    1341 | Reward:   2.900 | Avg(100):  -0.281 | Entropy: 0.0993 | Acc: 34.8% (8+ 15-) | Lifetime: 20.5%
Episode    37 | Steps:    1370 | Reward:   1.000 | Avg(100):  -0.247 | Entropy: 0.0993 | Acc: 27.6% (8+ 21-) | Lifetime: 20.6%
Episode    38 | Steps:    1393 | Reward:   5.100 | Avg(100):  -0.110 | Entropy: 0.0993 | Acc: 43.5% (10+ 13-) | Lifetime: 21.0%
Episode    39 | Steps:    1418 | Reward:   1.399 | Avg(100):  -0.072 | Entropy: 0.0993 | Acc: 32.0% (8+ 17-) | Lifetime: 21.2%
Episode    40 | Steps:    1450 | Reward:  -1.701 | Avg(100):  -0.112 | Entropy: 0.0993 | Acc: 18.8% (6+ 26-) | Lifetime: 21.2%
Episode    41 | Steps:    1481 | Reward:   1.897 | Avg(100):  -0.064 | Entropy: 0.0993 | Acc: 22.6% (7+ 24-) | Lifetime: 21.2%
  [Step 1500] Action dist: A0:15% | A1:20% | A2:23% | A3:23% | A4:20%
Episode    42 | Steps:    1515 | Reward:  -2.001 | Avg(100):  -0.109 | Entropy: 0.0993 | Acc: 20.6% (7+ 27-) | Lifetime: 21.2%
