Step,Reward
39,0.6970
69,1.6980
109,-1.9040
141,-1.3022
183,-3.5037
191,-0.4003
225,-0.7994
269,-3.7029
310,-2.4026
339,-0.4029
383,-1.8044
413,1.0995
449,-2.8021
489,-0.5040
521,0.4988
554,-1.7023
560,0.3994
592,-0.2007
630,-0.2018
649,3.7991
692,-2.8043
732,-1.6040
769,-1.5037
806,-1.8037
842,-0.0021
871,0.6976
895,1.8006
931,0.3974
950,5.0986
972,0.2008
1008,-1.3021
1038,1.7975
1066,0.1992
1093,1.5988
1125,-1.9022
1154,0.9991
1179,2.8980
1216,-0.2017
1241,1.2975
1279,-1.1028
1310,1.4969
1349,-0.9039
1379,0.6995
1404,1.0980
1424,1.9010
1454,1.0975
1487,1.1967
1515,0.7987
1542,-1.1017
1569,0.1018
1595,-0.5996
1623,3.0972
1659,-2.2016
1697,-1.2018
1733,0.3964
1756,1.8977
1791,-1.0015
1824,-1.2013
1853,0.9981
1884,0.9984
1910,3.7989
1935,-0.5990
1977,-3.0042
2004,1.2998
2039,-0.8030
2063,2.0991
2092,1.2981
2123,1.9974
2148,4.4985
2163,6.3990
2189,0.7974
2210,2.3999
2233,1.3007
2263,2.0980
2285,2.5008
2314,0.7971
2346,-0.8027
2367,2.8994
2397,0.6995
2424,1.5983
2450,3.5989
2475,0.1990
2509,-2.5029
2542,-0.2023
2566,1.4996
2603,-1.5032
2631,1.1972
2661,2.1990
2691,4.3970
2710,2.9996
2741,-0.7016
2769,0.3992
2793,2.1991
2822,1.2986
2856,-1.0014
2884,0.1992
2909,-0.1005
2932,2.0977
2960,2.7997
2977,3.9003
3002,3.4980
3013,0.1989
3046,0.2982
3085,-2.7009
3115,-0.6030
3140,2.9990
3165,-0.3005
3193,0.8982
3217,2.9986
3240,2.3012
3261,5.6989
3293,0.8968
3333,-1.1030
3368,-1.6995
3394,1.8994
3415,1.7009
3444,4.3981
3468,1.8996
3494,3.2979
3518,2.1986
3547,2.6971
3563,0.8009
3593,1.0000
3621,1.4982
3654,-1.8023
3686,-1.9032
3706,3.0005
3718,-0.0012
3752,-3.6029
3773,3.1989
3798,2.5990
3821,-1.8023
3851,2.0970
3877,0.1004
3903,1.4984
3934,-0.4016
3962,-1.1988
3992,1.4990
4023,0.0004
4048,3.1975
4067,3.3006
4086,2.4006
4112,3.3979
4139,0.6008
4166,1.1998
4191,5.1975
4214,2.5987
4239,4.4985
4264,2.5990
4289,3.4975
4316,2.7993
4341,1.9985
4372,1.6979
4402,0.1980
4429,-0.0017
4463,-1.7019
4487,1.9986
4513,0.9994
4538,2.5985
4578,-1.9030
4602,-1.1989
4625,4.6997
4653,2.1992
4679,2.1979
4709,0.3980
4731,4.3983
4756,2.2985
4775,3.1001
4794,2.7011
4818,1.5001
4847,1.5986
4872,1.3995
4896,3.8996
4926,1.1985
4951,0.7985
4977,0.0994
4999,-0.3997
5028,0.3981
5045,3.3003
5071,0.1999
5102,1.9979
5130,1.6982
5162,0.7968
5190,0.9982
5227,-1.6027
5269,-2.6032
5295,1.9984
5322,1.1973
5350,-0.0993
5376,0.7009
5403,2.1993
