Step,Correct,Wrong
40,7,34
81,8,33
111,8,22
143,7,25
177,8,26
239,7,55
274,8,27
322,8,40
359,8,29
389,9,21
433,3,41
471,6,32
520,8,41
558,7,31
587,5,24
623,9,27
666,6,37
700,7,27
741,5,36
773,7,25
813,5,35
839,9,17
864,7,18
899,9,26
943,5,39
970,9,18
998,8,20
1032,8,26
1078,5,41
1109,7,24
1149,3,37
1165,5,11
1204,6,33
1241,7,30
1275,9,25
1319,5,39
1360,8,33
1387,8,19
1417,5,25
1458,7,34
1510,5,47
1551,5,36
1594,8,35
1627,8,25
1663,8,28
1706,6,37
1745,6,33
1776,9,22
1812,7,29
1848,6,30
1882,6,28
1920,7,31
1952,7,25
1991,6,33
2020,8,21
2062,8,34
2106,3,41
2140,9,25
2169,8,21
2213,4,40
2255,7,35
2295,7,33
2319,8,16
2353,7,27
2401,8,40
2436,5,30
2481,6,39
2511,9,21
2539,8,20
2570,7,24
2589,8,11
2625,7,29
2649,7,17
2669,8,12
2710,7,34
2746,7,29
2788,7,35
2823,7,28
2856,3,30
2880,7,17
2916,6,30
2948,10,22
2976,6,22
3011,6,29
3037,8,18
3068,9,22
3101,4,29
3138,6,31
3172,8,26
3197,6,19
3236,6,33
3268,6,26
3291,7,16
3320,8,21
3341,6,15
3368,9,18
3413,3,42
3448,9,26
3477,6,23
3509,7,25
3540,8,23
3572,4,28
3597,9,16
3634,4,33
3660,11,15
3693,4,29
3724,6,25
3763,7,32
3792,6,23
3829,6,31
3851,7,15
3881,6,24
3919,6,32
3947,5,23
3972,6,19
4003,6,25
4031,9,19
4065,5,29
4090,8,17
4128,7,31
4171,6,37
4196,8,17
4224,7,21
4250,10,16
4287,8,29
4321,6,28
4348,8,19
4377,8,21
4411,6,28
4445,7,27
4482,7,30
4514,8,24
4553,6,33
4581,5,23
4610,4,25
4639,9,20
4670,7,24
4699,9,20
4724,8,17
4751,8,19
4784,6,27
4830,5,41
4860,7,23
4889,8,21
4916,8,19
4946,8,22
4966,8,12
4996,7,23
5021,8,17
5060,3,36
5097,7,30
5123,7,19
5155,8,24
5181,9,17
5213,5,27
5238,6,19
5265,5,22
5292,4,23
5317,7,18
5343,8,18
5374,7,24
5404,4,26
5427,9,14
5457,8,22
5479,8,14
5509,7,23
5546,5,32
5576,5,25
5604,7,21
5633,8,21
5657,9,15
5681,7,17
5713,6,26
5741,9,19
5779,5,33
5810,6,25
5836,8,18
5861,7,18
5890,10,19
5918,9,19
5943,8,17
5974,6,25
6009,5,30
6032,6,17
6068,9,27
6101,4,29
6127,6,20
6155,6,22
6183,7,21
6216,7,26
6237,8,13
6267,9,21
6299,10,22
6320,7,14
6329,1,8
6353,6,18
6384,7,24
6412,6,22
6437,7,18
6471,6,28
6495,8,16
6524,6,23
6558,5,29
6584,6,20
6588,1,3
6616,7,21
6650,7,27
6675,11,14
6699,7,17
6730,9,22
6745,8,7
6778,7,26
6809,8,23
6839,7,23
6869,8,22
6898,6,23
6943,7,38
6967,8,16
6998,7,24
7020,8,14
7059,6,33
7073,4,10
7102,9,20
7124,8,14
7155,7,24
7182,10,17
7207,8,17
7239,9,23
7262,6,17
7293,7,24
7319,9,17
7344,8,17
7375,6,25
7396,8,13
7425,8,21
7448,5,18
7481,4,29
7509,8,20
7532,9,14
7565,6,27
7590,8,17
7612,9,13
7631,10,9
7658,8,19
7691,8,25
7718,6,21
7743,7,18
7767,7,17
7790,7,16
7812,6,16
7833,7,14
7863,8,22
7887,8,16
7912,9,16
7934,10,12
7969,8,27
7997,7,21
8020,9,14
8045,11,14
8071,8,18
8101,7,23
8130,9,20
8157,6,21
8184,9,18
8209,10,15
8234,8,17
8262,8,20
8292,8,22
8320,7,21
8337,9,8
8363,7,19
8395,4,28
8418,10,13
8446,8,20
8475,6,23
8504,7,22
8526,9,13
8549,9,14
8574,8,17
8595,9,12
8626,9,22
8650,9,15
8674,9,15
8708,6,28
8735,8,19
8759,9,15
8778,8,11
8802,8,16
8835,7,26
8858,9,14
8889,6,25
8912,7,16
8930,9,9
8965,6,29
8996,7,24
9025,7,22
9048,10,13
9070,9,13
9093,7,16
9118,8,17
9151,7,26
9183,7,25
9207,7,17
9232,8,17
9260,6,22
9286,6,20
9315,5,24
9344,8,21
9370,7,19
9380,1,9
9414,6,28
9444,7,23
9472,7,21
9508,7,29
9531,6,17
9558,8,19
9585,8,19
9619,7,27
9651,5,27
9677,9,17
9702,7,18
9728,7,19
