
Training on cuda | logs -> training_logs/run_seed43_config4 (3)_resumed_20260523_014829
Config: ..\..\configs\config4 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode     0 | Steps:      25 | Reward:   1.500 | Avg(100):   1.500 | Entropy: 0.1000 | Acc: 30.8% (8+ 18-) | Lifetime: 30.8%
Episode     1 | Steps:      52 | Reward:   1.999 | Avg(100):   1.749 | Entropy: 0.1000 | Acc: 29.6% (8+ 19-) | Lifetime: 30.2%
Episode     2 | Steps:      89 | Reward:  -1.902 | Avg(100):   0.532 | Entropy: 0.1000 | Acc: 16.2% (6+ 31-) | Lifetime: 24.4%
Episode     3 | Steps:     117 | Reward:   0.100 | Avg(100):   0.424 | Entropy: 0.1000 | Acc: 32.1% (9+ 19-) | Lifetime: 26.3%
Episode     4 | Steps:     145 | Reward:   3.198 | Avg(100):   0.979 | Entropy: 0.1000 | Acc: 32.1% (9+ 19-) | Lifetime: 27.4%
Episode     5 | Steps:     183 | Reward:  -0.103 | Avg(100):   0.799 | Entropy: 0.1000 | Acc: 21.1% (8+ 30-) | Lifetime: 26.1%
Episode     6 | Steps:     218 | Reward:  -0.404 | Avg(100):   0.627 | Entropy: 0.1000 | Acc: 20.0% (7+ 28-) | Lifetime: 25.1%
Episode     7 | Steps:     259 | Reward:  -1.604 | Avg(100):   0.348 | Entropy: 0.0999 | Acc: 17.1% (7+ 34-) | Lifetime: 23.8%
Episode     8 | Steps:     305 | Reward:  -3.104 | Avg(100):  -0.036 | Entropy: 0.0999 | Acc: 10.9% (5+ 41-) | Lifetime: 21.9%
Episode     9 | Steps:     345 | Reward:  -1.004 | Avg(100):  -0.132 | Entropy: 0.0999 | Acc: 15.0% (6+ 34-) | Lifetime: 21.1%
Episode    10 | Steps:     385 | Reward:  -0.603 | Avg(100):  -0.175 | Entropy: 0.0999 | Acc: 15.0% (6+ 34-) | Lifetime: 20.5%
Episode    11 | Steps:     426 | Reward:  -1.302 | Avg(100):  -0.269 | Entropy: 0.0999 | Acc: 17.1% (7+ 34-) | Lifetime: 20.1%
Episode    12 | Steps:     461 | Reward:  -0.104 | Avg(100):  -0.256 | Entropy: 0.0999 | Acc: 20.0% (7+ 28-) | Lifetime: 20.1%
  [Step 500] Action dist: A0:15% | A1:21% | A2:23% | A3:19% | A4:22%
Episode    13 | Steps:     516 | Reward:  -4.905 | Avg(100):  -0.588 | Entropy: 0.0997 | Acc: 7.3% (4+ 51-) | Lifetime: 18.8%
Episode    14 | Steps:     539 | Reward:   1.501 | Avg(100):  -0.449 | Entropy: 0.0997 | Acc: 39.1% (9+ 14-) | Lifetime: 19.6%
Episode    15 | Steps:     580 | Reward:  -1.103 | Avg(100):  -0.490 | Entropy: 0.0997 | Acc: 14.6% (6+ 35-) | Lifetime: 19.3%
Episode    16 | Steps:     617 | Reward:   0.696 | Avg(100):  -0.420 | Entropy: 0.0997 | Acc: 18.9% (7+ 30-) | Lifetime: 19.3%
Episode    17 | Steps:     650 | Reward:  -1.303 | Avg(100):  -0.469 | Entropy: 0.0997 | Acc: 18.2% (6+ 27-) | Lifetime: 19.2%
Episode    18 | Steps:     689 | Reward:   0.597 | Avg(100):  -0.413 | Entropy: 0.0997 | Acc: 20.5% (8+ 31-) | Lifetime: 19.3%
Episode    19 | Steps:     721 | Reward:   2.197 | Avg(100):  -0.283 | Entropy: 0.0997 | Acc: 25.0% (8+ 24-) | Lifetime: 19.5%
Episode    20 | Steps:     762 | Reward:  -0.704 | Avg(100):  -0.303 | Entropy: 0.0997 | Acc: 17.1% (7+ 34-) | Lifetime: 19.4%
Episode    21 | Steps:     794 | Reward:   0.597 | Avg(100):  -0.262 | Entropy: 0.0996 | Acc: 21.9% (7+ 25-) | Lifetime: 19.5%
Episode    22 | Steps:     823 | Reward:   2.399 | Avg(100):  -0.146 | Entropy: 0.0996 | Acc: 27.6% (8+ 21-) | Lifetime: 19.8%
Episode    23 | Steps:     847 | Reward:   0.700 | Avg(100):  -0.111 | Entropy: 0.0996 | Acc: 29.2% (7+ 17-) | Lifetime: 20.0%
Episode    24 | Steps:     890 | Reward:  -1.304 | Avg(100):  -0.159 | Entropy: 0.0996 | Acc: 14.0% (6+ 37-) | Lifetime: 19.8%
Episode    25 | Steps:     933 | Reward:  -2.104 | Avg(100):  -0.233 | Entropy: 0.0996 | Acc: 9.3% (4+ 39-) | Lifetime: 19.3%
Episode    26 | Steps:     969 | Reward:   0.796 | Avg(100):  -0.195 | Entropy: 0.0996 | Acc: 22.2% (8+ 28-) | Lifetime: 19.4%
  [Step 1000] Action dist: A0:11% | A1:26% | A2:23% | A3:22% | A4:18%
Episode    27 | Steps:    1002 | Reward:   0.697 | Avg(100):  -0.163 | Entropy: 0.0996 | Acc: 24.2% (8+ 25-) | Lifetime: 19.5%
Episode    28 | Steps:    1041 | Reward:  -1.003 | Avg(100):  -0.192 | Entropy: 0.0995 | Acc: 20.5% (8+ 31-) | Lifetime: 19.6%
Episode    29 | Steps:    1068 | Reward:   1.699 | Avg(100):  -0.129 | Entropy: 0.0995 | Acc: 29.6% (8+ 19-) | Lifetime: 19.8%
Episode    30 | Steps:    1094 | Reward:   0.399 | Avg(100):  -0.112 | Entropy: 0.0995 | Acc: 26.9% (7+ 19-) | Lifetime: 20.0%
Episode    31 | Steps:    1130 | Reward:  -0.104 | Avg(100):  -0.112 | Entropy: 0.0995 | Acc: 19.4% (7+ 29-) | Lifetime: 20.0%
Episode    32 | Steps:    1161 | Reward:  -0.203 | Avg(100):  -0.115 | Entropy: 0.0995 | Acc: 19.4% (6+ 25-) | Lifetime: 20.0%
Episode    33 | Steps:    1192 | Reward:   2.197 | Avg(100):  -0.047 | Entropy: 0.0995 | Acc: 22.6% (7+ 24-) | Lifetime: 20.0%
Episode    34 | Steps:    1233 | Reward:  -0.904 | Avg(100):  -0.071 | Entropy: 0.0995 | Acc: 17.1% (7+ 34-) | Lifetime: 19.9%
Episode    35 | Steps:    1261 | Reward:   2.198 | Avg(100):  -0.008 | Entropy: 0.0995 | Acc: 32.1% (9+ 19-) | Lifetime: 20.2%
Episode    36 | Steps:    1292 | Reward:   0.997 | Avg(100):   0.019 | Entropy: 0.0993 | Acc: 19.4% (6+ 25-) | Lifetime: 20.2%
Episode    37 | Steps:    1320 | Reward:   0.997 | Avg(100):   0.045 | Entropy: 0.0993 | Acc: 17.9% (5+ 23-) | Lifetime: 20.1%
Episode    38 | Steps:    1355 | Reward:  -1.904 | Avg(100):  -0.005 | Entropy: 0.0993 | Acc: 11.4% (4+ 31-) | Lifetime: 19.9%
Episode    39 | Steps:    1377 | Reward:   1.800 | Avg(100):   0.040 | Entropy: 0.0993 | Acc: 31.8% (7+ 15-) | Lifetime: 20.1%
Episode    40 | Steps:    1413 | Reward:   1.597 | Avg(100):   0.078 | Entropy: 0.0993 | Acc: 22.2% (8+ 28-) | Lifetime: 20.2%
Episode    41 | Steps:    1432 | Reward:   4.998 | Avg(100):   0.195 | Entropy: 0.0993 | Acc: 47.4% (9+ 10-) | Lifetime: 20.5%
Episode    42 | Steps:    1463 | Reward:  -0.002 | Avg(100):   0.190 | Entropy: 0.0993 | Acc: 22.6% (7+ 24-) | Lifetime: 20.6%
  [Step 1500] Action dist: A0:9% | A1:20% | A2:24% | A3:31% | A4:17%
Episode    43 | Steps:    1503 | Reward:  -1.504 | Avg(100):   0.152 | Entropy: 0.0993 | Acc: 10.0% (4+ 36-) | Lifetime: 20.3%
Episode    44 | Steps:    1531 | Reward:   1.997 | Avg(100):   0.193 | Entropy: 0.0993 | Acc: 25.0% (7+ 21-) | Lifetime: 20.4%
Episode    45 | Steps:    1540 | Reward:   1.099 | Avg(100):   0.213 | Entropy: 0.0992 | Acc: 33.3% (3+ 6-) | Lifetime: 20.4%
Episode    46 | Steps:    1566 | Reward:   2.397 | Avg(100):   0.259 | Entropy: 0.0992 | Acc: 26.9% (7+ 19-) | Lifetime: 20.5%
Episode    47 | Steps:    1601 | Reward:   1.497 | Avg(100):   0.285 | Entropy: 0.0992 | Acc: 25.7% (9+ 26-) | Lifetime: 20.7%
Episode    48 | Steps:    1639 | Reward:  -1.503 | Avg(100):   0.248 | Entropy: 0.0992 | Acc: 13.2% (5+ 33-) | Lifetime: 20.5%
Episode    49 | Steps:    1675 | Reward:  -1.303 | Avg(100):   0.217 | Entropy: 0.0992 | Acc: 13.9% (5+ 31-) | Lifetime: 20.3%
Episode    50 | Steps:    1711 | Reward:   0.698 | Avg(100):   0.227 | Entropy: 0.0992 | Acc: 25.0% (9+ 27-) | Lifetime: 20.4%
Episode    51 | Steps:    1738 | Reward:  -0.400 | Avg(100):   0.215 | Entropy: 0.0992 | Acc: 22.2% (6+ 21-) | Lifetime: 20.5%
Episode    52 | Steps:    1769 | Reward:  -1.602 | Avg(100):   0.180 | Entropy: 0.0992 | Acc: 19.4% (6+ 25-) | Lifetime: 20.5%
Episode    53 | Steps:    1798 | Reward:  -0.202 | Avg(100):   0.173 | Entropy: 0.0990 | Acc: 20.7% (6+ 23-) | Lifetime: 20.5%
Episode    54 | Steps:    1838 | Reward:  -3.004 | Avg(100):   0.116 | Entropy: 0.0990 | Acc: 7.5% (3+ 37-) | Lifetime: 20.2%
Episode    55 | Steps:    1861 | Reward:   1.399 | Avg(100):   0.139 | Entropy: 0.0990 | Acc: 34.8% (8+ 15-) | Lifetime: 20.4%
Episode    56 | Steps:    1903 | Reward:  -2.903 | Avg(100):   0.085 | Entropy: 0.0990 | Acc: 11.9% (5+ 37-) | Lifetime: 20.2%
Episode    57 | Steps:    1937 | Reward:   2.897 | Avg(100):   0.134 | Entropy: 0.0990 | Acc: 23.5% (8+ 26-) | Lifetime: 20.2%
Episode    58 | Steps:    1980 | Reward:   4.396 | Avg(100):   0.206 | Entropy: 0.0990 | Acc: 23.3% (10+ 33-) | Lifetime: 20.3%
  [Step 2000] Action dist: A0:9% | A1:16% | A2:25% | A3:28% | A4:22%
Episode    59 | Steps:    2019 | Reward:  -1.903 | Avg(100):   0.171 | Entropy: 0.0990 | Acc: 12.8% (5+ 34-) | Lifetime: 20.1%
