
Training on cuda | logs -> training_logs/run_seed41_config5_fresh_20260527_011204
Config: ..\..\configs\config5.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      42 | Reward:  -4.104 | Avg(100):  -4.104 | Entropy: 0.1000 | Acc: 9.3% (4+ 39-) | Lifetime: 9.3%
Episode     1 | Steps:      81 | Reward:  -2.803 | Avg(100):  -3.454 | Entropy: 0.1000 | Acc: 10.3% (4+ 35-) | Lifetime: 9.8%
Episode     2 | Steps:     113 | Reward:   0.497 | Avg(100):  -2.137 | Entropy: 0.1000 | Acc: 18.8% (6+ 26-) | Lifetime: 12.3%
Episode     3 | Steps:     129 | Reward:   1.698 | Avg(100):  -1.178 | Entropy: 0.1000 | Acc: 31.2% (5+ 11-) | Lifetime: 14.6%
Episode     4 | Steps:     156 | Reward:   0.297 | Avg(100):  -0.883 | Entropy: 0.1000 | Acc: 14.8% (4+ 23-) | Lifetime: 14.6%
Episode     5 | Steps:     178 | Reward:   0.199 | Avg(100):  -0.703 | Entropy: 0.1000 | Acc: 18.2% (4+ 18-) | Lifetime: 15.1%
Episode     6 | Steps:     207 | Reward:  -2.000 | Avg(100):  -0.888 | Entropy: 0.1000 | Acc: 20.7% (6+ 23-) | Lifetime: 15.9%
Episode     7 | Steps:     255 | Reward:  -3.603 | Avg(100):  -1.227 | Entropy: 0.1000 | Acc: 12.8% (6+ 41-) | Lifetime: 15.3%
Episode     8 | Steps:     285 | Reward:  -0.503 | Avg(100):  -1.147 | Entropy: 0.0999 | Acc: 20.0% (6+ 24-) | Lifetime: 15.8%
Episode     9 | Steps:     316 | Reward:   1.098 | Avg(100):  -0.922 | Entropy: 0.0999 | Acc: 25.8% (8+ 23-) | Lifetime: 16.8%
Episode    10 | Steps:     323 | Reward:  -0.701 | Avg(100):  -0.902 | Entropy: 0.0999 | Acc: 14.3% (1+ 6-) | Lifetime: 16.7%
Episode    11 | Steps:     346 | Reward:   1.099 | Avg(100):  -0.735 | Entropy: 0.0999 | Acc: 26.1% (6+ 17-) | Lifetime: 17.3%
