
Training on cuda | logs -> training_logs/run_seed42_config9 (2)_fresh_20260527_040912
Config: ..\..\configs\config9 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      26 | Reward:   0.997 | Avg(100):   0.997 | Entropy: 0.1000 | Acc: 22.2% (6+ 21-) | Lifetime: 22.2%
Episode     1 | Steps:      53 | Reward:   1.797 | Avg(100):   1.397 | Entropy: 0.1000 | Acc: 22.2% (6+ 21-) | Lifetime: 22.2%
Episode     2 | Steps:      77 | Reward:  -0.897 | Avg(100):   0.633 | Entropy: 0.1000 | Acc: 37.5% (9+ 15-) | Lifetime: 26.9%
Episode     3 | Steps:     114 | Reward:  -3.801 | Avg(100):  -0.476 | Entropy: 0.1000 | Acc: 13.9% (5+ 31-) | Lifetime: 22.8%
Episode     4 | Steps:     123 | Reward:  -1.701 | Avg(100):  -0.721 | Entropy: 0.1000 | Acc: 0.0% (0+ 9-) | Lifetime: 21.1%
Episode     5 | Steps:     150 | Reward:  -0.102 | Avg(100):  -0.618 | Entropy: 0.0999 | Acc: 25.9% (7+ 20-) | Lifetime: 22.0%
Episode     6 | Steps:     182 | Reward:   1.298 | Avg(100):  -0.344 | Entropy: 0.0999 | Acc: 25.0% (8+ 24-) | Lifetime: 22.5%
Episode     7 | Steps:     209 | Reward:  -2.303 | Avg(100):  -0.589 | Entropy: 0.0999 | Acc: 11.1% (3+ 24-) | Lifetime: 21.1%
Episode     8 | Steps:     240 | Reward:  -3.302 | Avg(100):  -0.890 | Entropy: 0.0999 | Acc: 10.0% (3+ 27-) | Lifetime: 19.7%
Episode     9 | Steps:     279 | Reward:  -2.404 | Avg(100):  -1.042 | Entropy: 0.0999 | Acc: 17.9% (7+ 32-) | Lifetime: 19.4%
Episode    10 | Steps:     326 | Reward:  -5.603 | Avg(100):  -1.456 | Entropy: 0.0999 | Acc: 8.7% (4+ 42-) | Lifetime: 17.9%
Episode    11 | Steps:     358 | Reward:   1.597 | Avg(100):  -1.202 | Entropy: 0.0999 | Acc: 18.8% (6+ 26-) | Lifetime: 18.0%
Episode    12 | Steps:     380 | Reward:  -0.100 | Avg(100):  -1.117 | Entropy: 0.0999 | Acc: 27.3% (6+ 16-) | Lifetime: 18.5%
