Step,Reward
25,-1.0026
46,0.3994
77,-0.3031
105,-1.8013
132,1.0998
160,0.9972
185,4.8975
221,-1.8021
238,-0.8017
262,-0.6004
297,-2.5015
326,0.3986
352,2.4974
383,0.6969
411,2.2972
433,-0.3022
456,0.7987
496,-1.3010
532,-0.7021
571,-3.8014
614,-3.1043
640,0.1984
670,0.2980
703,-1.8028
743,-3.9030
773,-0.4025
809,-1.8021
812,1.8997
840,1.2987
882,-3.2022
898,-2.1016
931,-1.8023
947,-1.7006
976,1.8971
1000,3.4981
1040,-3.5030
1071,-0.1021
1094,2.4977
1123,0.9971
1153,0.0995
1197,-5.1039
1224,1.8978
1258,0.3971
1278,3.0000
1313,-0.9035
1335,-2.2022
1369,-0.8024
1396,0.2973
1422,-1.1021
1448,-0.6996
1493,-5.5030
1531,-3.2033
1555,3.7976
1564,-0.2009
1587,-0.2003
1619,1.4983
1654,-2.5035
1703,-3.7044
1722,1.3011
1748,0.8979
1751,0.0997
1779,1.3972
1798,3.5981
1822,2.3976
1842,1.6995
1866,1.9976
1901,0.0965
1925,3.0986
1947,2.7993
1975,2.1972
2000,1.5975
2027,0.2973
2059,-0.8032
2088,1.9001
2112,3.6976
2145,-1.5033
2183,-0.4038
2201,2.6982
2230,-2.0029
2274,-0.9044
2305,-1.2011
2336,-2.0016
2368,0.1983
2410,-3.5042
2450,-2.0035
2453,-0.6003
2484,1.0969
2514,-2.2020
2543,0.1996
2585,-2.8042
2613,-0.0993
2639,-1.1011
2665,0.5979
2698,-1.6023
2729,-1.3016
2753,-1.3004
2785,-0.0027
2812,0.7983
2849,-2.5027
2872,3.2977
2920,-4.0048
2943,-0.6003
2958,1.8000
2972,3.8986
2997,-1.4020
3026,0.5971
3064,-1.6038
3092,0.2982
3095,-0.6003
3128,1.8967
3154,0.9984
3192,-2.4038
3224,-2.7032
3245,4.5979
3248,0.0997
3288,-3.8040
3310,1.4988
3331,-0.8021
3359,0.8977
3382,0.5977
3421,-3.2039
3446,1.5990
3474,-0.8028
3483,1.4001
3505,1.0998
3530,0.3990
3547,-0.8017
3577,0.3970
3598,-0.3021
3623,0.8995
3654,-1.0031
3678,2.7981
3680,0.2998
3702,4.2978
3739,-1.1027
3760,1.7989
3781,3.7984
3803,-2.4022
3814,-2.1011
3847,2.7977
3873,0.9979
3900,-0.3017
3913,3.2007
3938,3.2975
3965,1.1988
3998,-2.8018
4026,0.0972
4050,4.0976
4074,1.9976
4098,2.8976
4124,0.5984
4150,-2.5026
4188,-2.4038
4219,-0.6006
4243,1.5976
4268,0.3000
4289,3.1979
4319,-0.2030
4349,0.9970
4372,4.0977
4396,1.6981
4429,-1.0013
4468,-3.5024
4493,0.4985
4526,-0.6033
4550,3.3986
4571,-0.6991
4594,1.8982
4606,-0.4992
4631,1.2975
4637,0.9994
4656,1.0981
4686,-0.2025
4691,-1.0005
4721,-2.1025
4756,-2.8025
4794,-1.8038
4817,2.4977
4845,0.4982
4870,1.2000
4899,-1.5029
4940,-3.1026
4957,-0.9012
4987,-1.6030
5014,-0.3982
5043,-0.5014
5074,0.6969
5101,1.3978
5136,-4.2015
5170,0.2966
5201,1.3969
5227,-0.6026
5256,0.1981
5280,-0.5009
5308,0.2982
5329,3.8979
5350,2.0979
