Step,Correct,Wrong
26,6,21
53,6,21
77,9,15
114,5,31
123,0,9
151,4,24
183,6,26
211,5,23
238,7,20
285,3,44
325,5,34
365,5,35
400,6,28
423,7,16
431,0,8
452,6,15
483,7,23
495,3,9
516,6,15
553,4,33
593,3,36
612,5,13
656,3,40
664,2,6
692,6,22
728,5,31
761,5,28
792,5,25
794,1,1
826,6,26
869,5,38
901,6,26
904,0,3
928,8,16
953,7,17
973,3,17
1007,6,28
1035,7,21
1061,9,17
1091,8,21
1098,2,5
1131,3,30
1152,4,17
1172,4,16
1196,7,17
1241,6,39
1280,4,35
1306,8,18
1317,3,8
1351,5,29
1375,6,17
1407,6,26
1425,4,14
1453,7,21
1486,5,28
1496,1,9
1536,6,34
1560,6,18
1591,7,24
1608,7,10
1611,0,3
1641,6,24
1652,2,9
1662,3,7
1673,2,9
1703,6,23
1731,6,22
1755,5,19
1782,6,21
1793,0,11
1818,6,19
1843,4,20
1865,6,16
1873,2,6
1894,6,15
1919,6,19
1941,8,13
1960,2,16
1989,6,23
2017,4,23
2040,7,16
2065,4,21
2090,7,18
2123,6,26
2152,6,23
2173,8,13
2198,4,21
2227,6,23
2250,6,16
2277,7,20
2313,8,27
2338,5,20
2360,7,15
2398,6,32
2427,6,23
2450,8,15
2475,7,18
2503,6,22
2535,4,27
2569,6,28
2591,7,15
2628,3,34
2667,4,35
2702,4,30
2724,5,17
2749,6,19
2772,8,14
2797,7,18
2827,5,24
2860,5,27
2884,6,18
2916,6,25
2938,8,14
2946,1,7
2974,7,20
2999,5,20
3021,5,17
3042,8,13
3074,6,25
3101,6,21
3124,8,15
3149,5,20
3171,5,17
3193,9,13
3214,6,14
3242,6,22
3270,5,23
3278,1,7
3300,9,12
3318,7,10
3345,7,20
3370,4,21
3393,5,18
3416,7,16
3441,7,18
3465,6,18
3491,6,20
3514,8,14
3524,2,8
3532,2,6
3555,6,17
3577,5,17
3598,8,13
3619,7,14
3642,4,19
3667,6,19
3696,5,24
3720,7,17
3745,6,19
3769,7,17
3802,5,28
3836,3,31
3863,9,18
3889,6,19
3918,4,25
3934,8,8
3966,5,26
3992,7,18
4012,7,13
4041,7,22
4049,2,6
4070,7,14
4106,5,31
4126,1,19
4155,5,24
4177,7,15
4200,5,18
4224,6,18
4234,1,9
4261,9,18
4284,8,15
4297,3,10
4320,5,18
4346,6,20
4364,7,11
4367,1,2
4387,5,15
4411,5,19
4429,9,9
4450,6,15
4466,6,10
4493,6,21
4499,2,4
4523,8,16
4535,0,12
4555,5,15
4575,7,13
4596,7,14
4626,5,25
4655,7,21
4680,7,18
4704,8,16
4728,9,14
4757,4,25
4781,6,18
4804,6,16
4827,6,17
4850,6,17
4877,8,18
4904,7,20
4929,7,18
4950,7,14
4983,3,29
5006,7,15
5013,2,4
5037,6,18
5059,8,14
5076,8,9
5104,5,23
5134,4,26
5161,4,23
5177,0,16
5206,8,21
5226,8,12
5249,7,16
5274,7,18
5302,5,23
5322,6,14
5346,8,16
5354,2,6
5389,6,29
5405,8,8
5432,7,20
5453,7,14
5476,5,18
5494,10,8
5499,1,4
5517,7,11
5540,6,17
5572,5,27
5596,2,22
5613,8,9
5639,6,20
5666,5,22
5698,4,28
5722,7,17
5755,5,27
5778,6,17
5801,8,15
5823,6,16
5844,6,15
5869,7,18
5896,7,19
5919,7,16
5945,8,18
5965,2,18
5978,3,10
6000,6,16
6022,5,17
6055,3,30
6088,8,25
6108,8,12
6128,9,11
6135,2,5
6169,4,29
6193,5,19
6222,5,24
6254,4,28
6274,7,13
6301,4,22
6325,7,17
6341,7,9
6358,8,9
6386,5,22
6412,5,21
6428,7,9
6443,9,6
6464,5,16
6490,6,20
6515,7,18
6530,10,5
6556,5,21
6576,9,11
6600,7,16
6625,6,19
6649,9,15
6668,7,12
6697,7,21
6715,7,11
6740,7,18
6756,7,9
6787,8,23
6802,7,8
6829,6,21
6854,6,19
6879,5,20
6897,9,8
6925,5,23
6955,8,22
6996,6,35
7024,7,20
7044,7,13
7068,8,15
7094,5,21
7123,5,24
7133,1,9
7150,6,11
7174,5,19
7203,5,24
7228,6,19
7255,8,19
7272,7,10
7312,6,34
7337,8,17
7361,7,17
7386,5,20
7409,6,17
7442,4,29
7463,9,12
7480,4,13
7499,8,11
7520,6,15
7556,3,33
7577,6,15
7600,7,16
7626,6,19
7653,6,21
7680,6,20
7698,3,15
7714,8,8
7744,6,24
7762,7,11
7796,5,29
7826,8,22
7831,0,5
7860,5,24
7882,6,16
7905,6,17
7927,7,15
7969,4,38
7986,7,10
8016,6,24
8041,6,19
8061,5,15
8084,8,14
8110,6,19
8134,6,18
8157,7,16
8179,7,14
8210,4,27
8228,7,11
8260,5,27
8291,4,27
8317,5,21
8341,8,16
8369,4,24
8399,4,26
8422,7,16
8441,9,10
8467,6,20
8482,8,7
8504,8,14
8536,5,27
8555,8,11
8576,5,16
8608,5,27
8636,7,21
8659,8,14
8690,7,24
8714,7,17
8728,8,6
8750,7,15
8775,9,15
8798,3,20
8824,6,20
8847,7,16
8870,7,16
8897,3,24
8924,9,18
8947,6,17
8982,2,33
9003,8,13
9035,5,27
9063,6,22
9091,2,26
9095,0,4
9122,5,22
9145,7,16
9164,8,11
9188,5,19
9222,6,27
9249,9,18
9275,7,19
9300,8,16
9320,7,13
9341,6,15
9354,8,5
9373,3,16
9406,6,27
9433,6,21
9456,7,16
9477,6,15
9506,8,21
9527,7,14
9551,6,18
9578,6,20
9599,8,13
9617,5,13
9647,5,25
9667,6,14
9691,7,16
9706,8,7
9733,3,23
9751,8,10
9771,7,13
9808,4,33
9839,5,26
9866,6,20
9883,9,8
9900,6,11
9923,5,18
9940,8,9
9969,7,22
9993,6,18
10011,8,10
10037,6,20
10056,6,13
10072,6,10
10097,5,20
10112,3,12
10126,7,7
10154,7,21
10177,4,19
10197,6,14
10222,8,16
10243,7,14
10272,6,23
10298,6,20
10324,7,19
10349,7,18
10377,6,21
10399,6,16
10420,6,15
10440,7,13
10461,8,13
10486,8,17
10513,4,23
10535,7,15
10561,6,20
10577,8,8
10596,8,11
10624,6,22
10653,4,24
10666,9,4
10692,6,20
10714,8,14
10721,1,6
10741,9,11
10772,6,25
10797,2,23
10823,6,20
10836,9,4
10860,7,17
10883,8,14
10912,5,24
10917,2,3
10939,6,16
10962,7,16
10980,3,15
10998,5,13
11029,6,24
11058,6,23
11090,7,25
11114,6,18
11148,8,26
11155,0,7
11186,4,27
11220,8,26
11238,8,10
11253,6,9
11282,5,24
11301,6,13
11324,6,17
11340,7,9
11358,7,11
11378,9,11
11411,4,29
11436,6,19
11460,8,16
11484,8,16
11509,7,18
11531,9,13
11559,6,22
11588,7,22
11609,8,13
11644,6,29
11676,5,26
11704,8,20
11735,7,24
11760,4,21
11781,7,14
11804,8,15
11836,10,22
11859,6,17
11891,9,23
11917,4,21
11936,7,12
11963,6,21
11984,5,16
12009,7,17
12033,7,16
12058,5,20
12084,6,20
12104,7,13
12128,7,17
12147,8,11
12173,6,20
12198,8,17
12220,6,16
12243,5,18
12271,8,20
12292,8,13
12314,8,14
12333,9,10
12358,5,20
12380,10,12
12405,6,19
12431,5,21
12441,2,8
12465,6,18
12487,7,15
12511,6,18
12529,6,12
12544,8,7
12564,6,14
12587,8,14
12601,8,6
12622,9,12
12642,6,14
12668,6,20
12686,8,10
12708,6,16
12731,6,17
12757,7,19
12776,7,12
12794,6,12
12815,7,13
12842,5,21
12868,8,18
12889,7,14
12909,6,14
12942,4,28
12960,9,9
12987,6,21
12999,5,7
13022,7,16
13039,6,11
13059,5,15
13072,7,6
13101,7,22
13124,5,18
13154,3,27
13175,7,14
13202,5,22
13229,5,20
13257,6,22
13290,4,29
13309,7,12
13326,9,8
13349,6,17
13372,6,17
13397,8,17
13421,4,20
13430,3,6
13447,8,9
13469,9,12
13487,7,11
13511,7,17
13543,7,25
13568,5,20
13591,8,14
13617,7,19
13642,6,19
13664,6,16
13682,6,12
13707,7,17
13725,9,9
13755,5,25
13775,7,13
13791,8,8
13828,7,30
13848,6,13
13878,5,25
13897,8,11
13919,8,14
13947,6,22
13969,6,16
13991,6,16
14011,6,14
14034,6,17
14054,7,13
14077,6,17
14089,6,6
14113,8,16
14131,9,9
14146,3,12
14153,2,5
14168,8,7
14179,1,10
14187,2,6
14202,6,9
14225,7,15
14244,8,11
14265,7,14
14299,5,29
14324,8,17
14345,9,12
14371,6,20
14389,5,13
14412,7,16
14434,7,15
14448,8,6
14474,8,18
14491,6,11
14511,8,12
14526,9,6
14540,10,4
14558,3,15
14578,9,11
14601,6,17
14618,8,9
14638,5,15
14664,6,20
14694,5,25
14716,4,18
14736,7,13
14757,8,13
14775,6,12
14794,8,11
14808,8,6
14829,6,15
14864,4,31
14888,6,18
14896,1,7
14917,10,11
14935,7,11
14962,6,20
14970,3,5
14994,5,19
15016,7,15
15036,8,12
15053,9,8
15073,6,14
15092,7,12
15118,8,18
15149,6,25
15165,6,10
15184,8,11
15209,6,19
15230,6,15
15246,7,9
15269,6,17
15282,4,9
15307,7,17
15336,6,23
15356,7,13
15379,7,15
15400,9,12
15420,7,13
15442,8,14
15463,7,14
15477,2,12
15493,8,8
15512,9,10
15533,6,15
15554,9,12
15570,9,7
15577,3,4
15599,8,14
15620,7,14
15647,7,19
15670,8,15
15694,7,17
15709,8,7
15739,7,23
15763,8,16
15786,7,16
15808,7,15
15827,8,11
15851,7,16
15865,8,6
15886,7,13
15905,7,12
15924,7,12
15943,6,13
15967,7,17
15991,6,18
16015,7,16
16041,7,19
16062,6,15
16086,7,17
16108,8,14
16126,7,11
16151,6,18
16169,4,14
16182,8,5
16203,10,11
16220,7,10
16239,6,13
16264,6,19
16287,7,15
16299,8,4
16321,8,14
16348,7,19
16365,8,9
16380,7,8
16401,7,14
16423,9,13
16436,8,5
16458,9,13
16479,7,14
16503,6,18
16521,8,10
16547,7,18
16563,9,7
16586,8,15
16609,9,14
16629,8,12
16651,8,14
16675,8,16
16695,6,14
16708,8,5
16736,6,22
16757,6,15
16773,9,7
16797,6,18
16821,9,15
16845,7,17
16868,7,16
16887,5,14
16913,7,18
16932,7,12
16954,8,13
16976,8,14
16994,9,9
17018,8,16
17033,9,6
17053,10,10
17072,6,12
17089,9,8
17107,8,10
17132,9,16
17148,8,8
17170,7,15
17186,6,10
17206,7,13
17225,7,12
17248,6,16
17268,8,11
17293,6,19
17312,8,11
17328,6,10
17348,9,11
17367,8,11
17381,7,7
17405,7,17
17424,6,13
17436,8,4
17452,7,9
17478,6,19
17504,8,17
17522,8,10
17542,8,12
17567,6,19
17586,8,11
17607,8,13
17632,6,19
17653,8,13
17668,8,7
17684,8,8
17714,8,21
17730,9,7
17753,8,15
17773,5,15
17803,6,23
17823,7,13
17842,10,9
17870,6,22
17889,8,11
17909,6,14
17942,5,28
17963,8,13
17975,8,4
17994,8,11
18019,6,19
18034,9,6
18053,7,12
18072,9,10
18099,8,19
18135,6,30
18151,9,7
18171,5,15
18191,8,12
18209,7,11
18236,8,19
18249,4,9
18278,7,22
18303,8,17
18322,8,11
18340,9,9
18365,9,16
18382,6,11
18407,8,17
18423,8,8
18442,7,12
18465,7,16
18489,6,18
18505,7,9
18526,8,13
18545,8,11
18561,6,10
18584,6,17
18598,9,5
18624,6,20
18641,9,8
18656,9,6
18677,8,13
18697,8,12
18725,7,21
18741,8,7
18760,8,11
18774,9,5
18788,4,10
18805,9,8
18828,7,16
18851,9,14
18866,8,7
18882,8,8
18903,7,14
18933,6,24
18955,6,16
18976,9,12
18992,7,8
19010,7,11
19032,5,17
19051,8,11
19075,7,17
19101,6,20
19121,5,15
19147,7,19
19170,9,14
19192,8,13
19213,8,12
19231,9,9
19253,10,12
19268,9,6
19290,9,13
19316,6,20
19340,8,16
19362,6,16
19382,5,15
19400,9,9
19421,7,14
19443,6,16
19458,8,7
19480,9,13
19504,6,18
19526,7,15
19553,6,21
19571,8,10
19588,8,9
19599,8,3
19620,7,14
19635,8,7
19651,6,10
19677,8,18
19696,7,12
19725,6,23
19745,8,12
19767,5,17
19787,7,13
19803,7,9
19824,8,13
19844,8,11
19860,7,9
19863,1,2
19890,6,21
19916,7,19
19926,2,8
19948,5,17
19967,7,12
19984,6,11
19999,10,5
20012,3,10
20035,4,19
20065,5,24
20090,8,17
20107,7,10
20116,2,7
20136,6,14
20154,8,10
20178,9,15
20196,9,9
20213,4,13
20238,6,19
20259,9,12
20278,9,10
20292,9,5
20317,7,18
20336,9,10
20356,6,14
20376,9,11
20393,9,8
20412,9,10
20430,7,11
20451,8,13
20470,7,12
20488,8,10
20508,8,12
20533,10,15
20552,7,12
20576,4,20
20598,6,16
20620,8,14
20622,1,1
20644,8,14
20658,8,6
20683,9,16
20699,7,9
20717,7,11
20734,7,10
20753,7,12
20770,9,8
20791,9,11
20810,8,11
20832,9,13
20859,6,21
20888,5,24
20917,8,21
20942,8,17
20966,6,18
20989,8,15
21016,7,20
21037,7,14
21059,8,14
21084,6,19
21115,9,22
21136,8,13
21153,8,9
21175,9,12
21195,8,12
21220,7,18
21240,9,11
21259,8,11
21278,9,10
21297,8,11
21320,9,14
21351,5,26
21368,9,8
21389,8,13
21411,7,15
21425,10,4
21454,6,23
21477,7,16
21500,5,18
21526,8,17
21554,8,20
21582,5,23
21597,11,4
21615,7,11
21638,8,15
21654,8,8
21671,8,9
21688,8,9
21715,7,20
21735,9,11
21750,1,14
21763,4,9
21783,7,13
21802,7,12
21824,10,12
21848,10,14
21863,9,6
21878,10,5
21903,7,18
21919,8,8
21932,9,4
21954,8,14
21973,6,13
21987,10,4
22010,7,16
22036,10,16
22064,8,20
22076,9,3
22088,9,3
22107,9,10
22128,7,14
22149,7,14
22174,6,19
22196,8,14
22221,6,19
22232,9,2
22252,7,13
22274,8,14
22292,8,10
22304,9,3
22324,9,11
22342,8,10
22381,6,33
22399,7,11
22412,7,6
22438,7,19
22462,6,18
22484,8,13
22501,10,7
22527,8,18
22543,8,8
22576,6,27
22596,8,12
22616,6,14
22632,7,9
22648,6,10
22670,8,14
22688,8,10
22710,7,15
22732,9,13
22754,6,16
22773,8,11
22802,7,21
22806,1,3
22826,9,11
22845,8,11
22869,8,16
22891,6,16
22910,9,10
22922,8,4
22937,9,6
22957,9,11
22972,8,6
22992,6,14
23018,7,19
23042,6,18
23062,8,12
23081,8,11
23103,8,14
23126,8,15
23144,7,11
23162,8,10
23187,5,20
23217,8,22
23237,6,14
23259,8,14
23287,7,21
23308,8,13
23341,6,27
23363,8,14
23368,2,3
23386,8,10
23401,9,6
23419,9,9
23428,7,2
23456,6,22
23477,9,12
23502,6,19
23525,7,16
23542,9,8
23562,7,13
23582,7,13
23604,8,14
23613,1,8
23635,8,14
23658,8,15
23681,9,14
23697,7,9
23714,9,8
23729,9,6
23743,7,7
23759,9,7
23775,9,7
23798,7,16
23822,8,16
23835,7,6
23855,8,12
23874,7,11
23891,7,10
23912,7,14
23927,8,7
23940,9,4
23965,9,16
23985,7,13
24025,6,34
24041,9,7
24063,6,16
24079,9,7
24092,8,5
24095,1,2
24111,7,9
24126,9,6
