
Training on cuda | logs -> training_logs/run_seed42_config7 (2)_fresh_20260528_040946
Config: ..\..\configs\config7 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      26 | Reward:  -0.203 | Avg(100):  -0.203 | Entropy: 0.0500 | Acc: 22.2% (6+ 21-) | Lifetime: 22.2%
Episode     1 | Steps:      53 | Reward:   0.297 | Avg(100):   0.047 | Entropy: 0.0500 | Acc: 22.2% (6+ 21-) | Lifetime: 22.2%
Episode     2 | Steps:      77 | Reward:  -1.997 | Avg(100):  -0.634 | Entropy: 0.0500 | Acc: 37.5% (9+ 15-) | Lifetime: 26.9%
Episode     3 | Steps:     114 | Reward:  -5.701 | Avg(100):  -1.901 | Entropy: 0.0500 | Acc: 13.9% (5+ 31-) | Lifetime: 22.8%
Episode     4 | Steps:     123 | Reward:  -1.801 | Avg(100):  -1.881 | Entropy: 0.0500 | Acc: 0.0% (0+ 9-) | Lifetime: 21.1%
Episode     5 | Steps:     151 | Reward:  -1.803 | Avg(100):  -1.868 | Entropy: 0.0500 | Acc: 14.3% (4+ 24-) | Lifetime: 19.9%
Episode     6 | Steps:     183 | Reward:  -2.703 | Avg(100):  -1.987 | Entropy: 0.0500 | Acc: 18.8% (6+ 26-) | Lifetime: 19.7%
Episode     7 | Steps:     211 | Reward:  -1.103 | Avg(100):  -1.877 | Entropy: 0.0500 | Acc: 17.9% (5+ 23-) | Lifetime: 19.4%
Episode     8 | Steps:     238 | Reward:  -0.002 | Avg(100):  -1.668 | Entropy: 0.0500 | Acc: 25.9% (7+ 20-) | Lifetime: 20.2%
Episode     9 | Steps:     285 | Reward:  -7.305 | Avg(100):  -2.232 | Entropy: 0.0499 | Acc: 6.4% (3+ 44-) | Lifetime: 17.9%
Episode    10 | Steps:     325 | Reward:  -6.302 | Avg(100):  -2.602 | Entropy: 0.0499 | Acc: 12.8% (5+ 34-) | Lifetime: 17.3%
Episode    11 | Steps:     365 | Reward:  -4.504 | Avg(100):  -2.760 | Entropy: 0.0499 | Acc: 12.5% (5+ 35-) | Lifetime: 16.8%
Episode    12 | Steps:     400 | Reward:  -2.604 | Avg(100):  -2.748 | Entropy: 0.0499 | Acc: 17.6% (6+ 28-) | Lifetime: 16.8%
Episode    13 | Steps:     423 | Reward:  -0.200 | Avg(100):  -2.566 | Entropy: 0.0499 | Acc: 30.4% (7+ 16-) | Lifetime: 17.6%
