Episode,Reward,Cumulative Reward
1,7.86,7.86
2,69.51,77.37
3,225.71,303.08
4,351.11,654.19
5,377.51,1031.70
6,575.51,1607.20
7,597.51,2204.71
8,281.81,2486.52
9,1080.41,3566.93
10,201.51,3768.44
11,157.51,3925.94
12,504.81,4430.75
13,1146.41,5577.16
14,1308.11,6885.27
15,871.41,7756.68
16,1011.11,8767.78
17,862.61,9630.39
18,1748.11,11378.50
19,290.61,11669.11
20,848.31,12517.42
21,850.51,13367.92
22,1096.91,14464.83
23,775.71,15240.54
24,1388.41,16628.95
25,1502.81,18131.76
26,378.61,18510.36
27,1982.41,20492.77
28,1960.41,22453.18
29,1502.81,23955.99
30,1488.51,25444.50
31,946.21,26390.70
32,1982.41,28373.11
33,1201.41,29574.52
34,1598.51,31173.03
35,994.61,32167.64
36,1080.41,33248.04
37,1643.61,34891.65
38,1982.41,36874.06
39,750.41,37624.47
40,1579.81,39204.28
41,1425.81,40630.08
42,975.91,41605.99
43,1463.21,43069.20
44,1391.71,44460.91
45,1982.41,46443.32
46,1472.01,47915.32
47,620.61,48535.93
48,1123.31,49659.24
49,1181.61,50840.85
50,1588.61,52429.46
51,1102.41,53531.86
52,715.21,54247.07
53,1248.71,55495.78
54,1982.41,57478.19
55,1681.01,59159.20
56,977.01,60136.20
57,1660.11,61796.31
58,964.91,62761.22
59,1718.41,64479.63
60,1430.21,65909.84
61,1055.11,66964.94
62,1982.41,68947.35
63,1616.11,70563.46
64,372.01,70935.47
65,786.71,71722.18
66,1970.31,73692.48
67,979.21,74671.69
68,1353.21,76024.90
69,1982.41,78007.31
70,1104.61,79111.92
71,1650.21,80762.12
72,1982.41,82744.53
73,1982.41,84726.94
74,476.51,85203.45
75,1302.61,86506.06
76,1975.81,88481.86
77,946.21,89428.07
78,689.91,90117.98
79,1171.71,91289.69
80,1583.11,92872.80
81,1562.21,94435.00
82,1642.51,96077.51
83,742.71,96820.22
84,1982.41,98802.63
85,688.81,99491.44
86,1303.71,100795.14
87,1956.01,102751.15
88,1982.41,104733.56
89,1096.91,105830.47
90,1425.81,107256.28
91,1096.91,108353.18
92,1560.01,109913.19
93,1259.71,111172.90
94,1597.41,112770.31
95,955.01,113725.32
96,1982.41,115707.72
97,1586.41,117294.13
98,1606.21,118900.34
99,1344.41,120244.75
100,1982.41,122227.16
101,1649.11,123876.26
102,1268.51,125144.77
103,667.91,125812.68
104,985.81,126798.49
105,818.61,127617.10
106,1398.31,129015.40
107,1730.51,130745.91
108,518.31,131264.22
109,1188.21,132452.43
110,1371.91,133824.34
111,1146.41,134970.74
112,1562.21,136532.95
113,1982.41,138515.36
114,732.81,139248.17
115,1607.31,140855.48
116,780.11,141635.58
117,1982.41,143617.99
118,1459.91,145077.90
119,1473.11,146551.01
120,1982.41,148533.42
121,952.81,149486.22
122,838.41,150324.63
123,1491.81,151816.44
124,1982.41,153798.85
125,1450.01,155248.86
126,889.01,156137.86
127,1139.81,157277.67
128,649.21,157926.88
129,1386.21,159313.09
130,1177.21,160490.30
131,923.11,161413.40
132,1887.81,163301.21
133,1563.31,164864.52
134,1450.01,166314.53
135,1307.01,167621.54
136,1397.21,169018.74
137,1356.51,170375.25
138,1632.61,172007.86
139,717.41,172725.27
140,1444.51,174169.78
141,840.61,175010.38
142,1573.21,176583.59
143,1116.71,177700.30
144,1982.41,179682.71
145,667.91,180350.62
146,853.81,181204.42
147,1362.01,182566.43
148,1089.21,183655.64
149,1546.81,185202.45
150,1982.41,187184.86
151,908.81,188093.66
152,1386.21,189479.87
153,1585.31,191065.18
154,1288.31,192353.49
155,1474.21,193827.70
156,935.21,194762.90
157,1982.41,196745.31
158,1599.61,198344.92
159,1609.51,199954.43
160,1302.61,201257.04
161,1380.71,202637.74
162,992.41,203630.15
163,1982.41,205612.56
164,895.61,206508.17
165,1148.61,207656.78
166,1982.41,209639.18
167,682.21,210321.39
168,887.91,211209.30
169,1982.41,213191.71
170,1937.31,215129.02
171,1982.41,217111.42
172,847.21,217958.63
173,1982.41,219941.04
174,1612.81,221553.85
175,689.91,222243.76
176,1492.91,223736.66
177,836.21,224572.87
178,1982.41,226555.28
179,787.81,227343.09
180,1598.51,228941.60
181,1589.71,230531.30
182,475.41,231006.71
183,1184.91,232191.62
184,1982.41,234174.03
185,747.11,234921.14
186,1547.91,236469.04
187,1545.71,238014.75
188,902.21,238916.96
189,883.51,239800.47
190,1056.21,240856.68
191,1161.81,242018.48
192,727.31,242745.79
193,1104.61,243850.40
194,989.11,244839.51
195,1536.91,246376.42
196,1188.21,247564.62
197,1644.71,249209.33
198,1982.41,251191.74
199,924.21,252115.95
200,1579.81,253695.76
201,1364.21,255059.96
202,1982.41,257042.37
203,1982.41,259024.78
204,1964.81,260989.59
205,722.91,261712.50
206,1591.91,263304.40
207,1982.41,265286.81
208,1584.21,266871.02
209,1982.41,268853.43
210,1050.71,269904.14
211,820.81,270724.94
212,1136.51,271861.45
213,1544.61,273406.06
214,969.31,274375.37
215,1426.91,275802.28
216,934.11,276736.38
217,1237.71,277974.09
218,1982.41,279956.50
219,1063.91,281020.41
220,509.51,281529.92
221,791.11,282321.02
222,1131.01,283452.03
223,1127.71,284579.74
224,1490.71,286070.45
225,986.91,287057.36
226,1140.91,288198.26
227,1982.41,290180.67
228,1582.01,291762.68
229,1979.11,293741.79
230,1957.11,295698.90
231,1597.41,297296.30
232,1182.71,298479.01
233,1690.91,300169.92
234,1001.21,301171.13
235,1578.71,302749.84
236,1597.41,304347.24
237,1502.81,305850.05
238,1597.41,307447.46
239,1638.11,309085.57
240,1650.21,310735.78
241,885.71,311621.48
242,1825.11,313446.59
243,820.81,314267.40
244,1501.71,315769.11
245,407.21,316176.32
246,1093.61,317269.92
247,1393.91,318663.83
248,977.01,319640.84
249,1982.41,321623.25
250,1375.21,322998.46
251,1982.41,324980.86
252,553.51,325534.37
253,1201.41,326735.78
254,1120.01,327855.79
255,1982.41,329838.20
256,1982.41,331820.60
257,267.51,332088.11
258,377.51,332465.62
259,1556.71,334022.33
260,1648.01,335670.34
261,1632.61,337302.94
262,1640.31,338943.25
263,1450.01,340393.26
264,1982.41,342375.67
265,1110.11,343485.78
266,1468.71,344954.48
267,1623.81,346578.29
268,1982.41,348560.70
269,1982.41,350543.11
270,155.31,350698.42
271,1982.41,352680.82
272,1589.71,354270.53
273,1116.71,355387.24
274,1110.11,356497.35
275,1958.21,358455.56
276,1969.21,360424.76
277,883.51,361308.27
278,1586.41,362894.68
279,1982.41,364877.09
280,1584.21,366461.30
281,1687.61,368148.90
282,1377.41,369526.31
283,1412.61,370938.92
284,1487.41,372426.33
285,1982.41,374408.74
286,1260.81,375669.54
287,1474.21,377143.75
288,736.11,377879.86
289,1982.41,379862.27
290,1102.41,380964.68
291,726.21,381690.88
292,1205.81,382896.69
293,1940.61,384837.30
294,1982.41,386819.71
295,1982.41,388802.12
296,1459.91,390262.02
297,1508.31,391770.33
298,1641.41,393411.74
299,1100.21,394511.95
300,1120.01,395631.96
301,898.91,396530.86
302,788.91,397319.77
303,1160.71,398480.48
304,1982.41,400462.89
305,1584.21,402047.10
306,1254.21,403301.30
307,946.21,404247.51
308,1182.71,405430.22
309,1425.81,406856.03
310,952.81,407808.84
311,1177.21,408986.04
312,755.91,409741.95
313,1182.71,410924.66
314,1519.31,412443.97
315,1220.11,413664.08
316,1611.71,415275.78
317,1355.41,416631.19
318,1239.91,417871.10
319,1522.61,419393.71
320,1300.41,420694.12
321,1190.41,421884.52
322,1079.31,422963.83
323,922.01,423885.84
324,1121.11,425006.95
325,1313.61,426320.56
326,1388.41,427708.96
327,1598.51,429307.47
328,1430.21,430737.68
329,719.61,431457.29
330,1631.51,433088.80
331,1982.41,435071.20
332,1198.11,436269.31
333,1322.41,437591.72
334,1982.41,439574.13
335,1949.41,441523.54
336,1631.51,443155.04
337,791.11,443946.15
