Episode,Reward,Cumulative Reward
1,32.00,32.00
2,-112.10,-80.10
3,-495.30,-575.39
4,42.08,-533.32
5,128.60,-404.72
6,-553.70,-958.41
7,200.00,-758.41
8,-155.30,-913.71
9,332.00,-581.71
10,29.60,-552.11
11,-321.70,-873.80
12,-800.20,-1674.00
13,-563.80,-2237.80
14,374.59,-1863.21
15,-82.60,-1945.81
16,-1666.80,-3612.60
17,-698.90,-4311.50
18,-69.80,-4381.30
19,-226.40,-4607.70
20,-79.54,-4687.24
21,-192.60,-4879.84
22,166.30,-4713.54
23,-1030.10,-5743.63
24,-234.60,-5978.23
25,279.10,-5699.13
26,61.40,-5637.73
27,-653.00,-6290.73
28,-913.90,-7204.62
29,756.00,-6448.62
30,-476.00,-6924.62
31,694.50,-6230.12
32,-166.02,-6396.14
33,850.00,-5546.14
34,-1588.50,-7134.64
35,-39.40,-7174.03
36,-107.40,-7281.43
37,143.70,-7137.73
38,969.10,-6168.63
39,981.10,-5187.53
40,253.10,-4934.42
41,244.60,-4689.82
42,822.60,-3867.22
43,26.10,-3841.12
44,-589.40,-4430.51
45,475.10,-3955.41
46,-1077.40,-5032.81
47,495.10,-4537.71
48,485.10,-4052.61
49,967.10,-3085.50
50,-1109.90,-4195.40
51,-105.40,-4300.80
52,759.60,-3541.20
53,-1.90,-3543.10
54,457.80,-3085.29
55,-1118.90,-4204.19
56,-319.40,-4523.59
57,770.10,-3753.49
58,-660.80,-4414.29
59,242.60,-4171.68
60,-359.50,-4531.18
61,1.10,-4530.08
62,-216.40,-4746.48
63,-56.50,-4802.97
64,-1380.80,-6183.77
65,-837.90,-7021.67
66,-71.80,-7093.47
67,264.90,-6828.57
68,-773.40,-7601.96
69,927.80,-6674.16
70,-1476.90,-8151.06
71,-40.70,-8191.76
72,-306.40,-8498.16
73,729.10,-7769.05
74,995.10,-6773.95
75,238.10,-6535.85
76,-7.40,-6543.25
77,487.60,-6055.65
78,468.60,-5587.04
79,995.10,-4591.94
80,995.10,-3596.84
81,12.10,-3584.74
82,584.20,-3000.53
83,-54.90,-3055.43
84,-14.90,-3070.33
85,249.60,-2820.73
86,995.10,-1825.63
87,904.80,-920.82
88,-382.90,-1303.72
89,-804.90,-2108.62
90,969.90,-1138.72
91,-80.80,-1219.52
92,995.10,-224.41
93,747.60,523.19
94,485.10,1008.29
95,184.40,1192.69
96,339.60,1532.29
97,-497.90,1034.40
98,-311.40,723.00
99,759.60,1482.60
