Step,Reward
26,-0.2027
53,0.2973
77,-1.9969
112,-5.0010
122,-2.0010
151,-2.0029
180,-2.8024
209,-3.7019
247,-4.3038
281,-3.8029
313,-1.0022
357,-5.7044
364,-0.7007
392,-1.6028
418,-0.3011
446,-0.5028
476,-0.6015
505,-2.1014
546,-6.1041
573,-1.5002
603,-2.0020
631,-1.4008
656,-2.5005
689,-2.8023
717,-1.4013
740,-1.1003
770,-2.3010
794,-1.3024
819,0.5985
853,-3.0034
895,-6.6032
921,-1.2021
950,-1.8024
980,-4.0005
1004,-0.6019
1034,0.3970
1065,-0.6021
1110,-5.7045
1142,-1.1007
1164,-0.2012
1199,-4.7020
1234,-3.3020
1257,1.2987
1263,-0.0006
1288,2.3975
1322,-3.2034
1352,0.0980
1362,-1.3010
1387,-0.5025
1416,-2.0029
1446,-1.5030
1480,-2.3034
1493,-1.4993
1511,2.2992
1536,-1.8010
1561,0.1985
1589,-3.1008
1609,1.0995
1638,-2.5029
1660,-1.9002
1692,-3.5022
1714,0.7003
1740,0.1984
1766,-2.0006
1796,-3.2020
1822,-0.7021
1855,-1.4033
1858,-0.6003
1883,1.3975
1894,-0.3011
1920,-0.7026
1952,-1.7022
1979,-1.4017
2011,-3.1032
2039,-1.6018
2074,-4.2025
2088,0.2986
2108,1.1000
2136,-0.4018
2164,-0.0013
2184,1.2000
2211,0.9983
2238,-0.9027
2266,-3.0023
2292,0.4974
2318,1.3989
2347,-0.9019
2383,-4.2021
2406,-1.6003
2434,-0.2008
2459,1.1975
2490,-1.3021
2519,-1.6029
2547,0.7972
2568,0.9019
2594,0.4974
2613,2.0986
2642,-0.9024
2666,-0.1014
2696,-3.2025
2709,-1.9013
2730,2.6979
2744,0.1996
2762,-0.5998
2785,2.1987
2816,-1.2031
2836,1.3010
2850,3.3006
2867,4.1998
2889,-0.2007
2915,-1.0016
2947,-0.5032
2972,-0.1005
2981,-0.9004
3005,-0.6019
3007,0.2998
3022,1.9000
3051,-0.3029
3080,1.0971
3089,-0.6009
3116,0.9973
3141,-1.5020
3162,3.8979
3187,-2.3010
3216,-2.8019
3251,-5.4025
3270,2.3006
3291,1.9979
3311,0.2000
3332,-3.3016
3352,1.1980
3357,0.1995
3368,0.1989
3394,2.8984
3420,-0.3011
3445,-0.3015
3450,-1.0005
3472,-2.0022
3500,1.4982
3533,-3.4023
3557,-1.3014
3584,-2.7987
3608,1.2996
3629,1.6984
3653,-0.6004
3662,-0.4009
3673,3.9009
3699,-0.8006
3726,0.8973
3756,-1.4005
3777,1.1984
3789,4.2008
3820,-2.0026
3847,2.3983
3867,0.8995
3889,1.6988
3909,0.4985
3931,0.9008
3960,-1.1029
3985,-2.0005
4012,-3.1992
4034,0.6993
4064,-1.1000
4085,1.6989
4107,-0.0007
4130,2.4987
4153,1.0982
4177,0.5986
4200,2.9987
4221,3.5979
4251,0.0975
4276,-1.1005
4303,0.4983
4315,1.3988
4338,-0.6023
4361,0.5982
4379,0.8992
4403,2.0976
4428,1.1975
4453,-0.6000
4485,0.4968
4507,-0.4017
4533,-0.5026
4559,-2.2021
4592,-2.9008
4617,1.8975
4648,1.0979
4670,-1.4007
4692,2.1998
4702,-1.8000
4721,-0.5014
4740,2.7991
4760,1.8995
4787,1.3993
4808,1.1984
4829,0.9989
4855,-0.2026
4880,3.0980
4908,-0.2013
4928,3.2990
4951,0.2987
4977,-1.7011
4996,-1.1004
5018,0.0003
5041,1.2982
5063,-0.9992
5097,-2.3034
5123,-0.2026
5142,-0.0994
5170,-2.3028
5195,-1.3000
5204,0.5001
5221,3.4993
5245,0.0991
5267,0.7998
5295,-1.4003
5316,1.1989
5342,-0.8011
5359,1.0003
5383,1.3001
5399,1.7004
5421,-0.0002
5439,1.5987
5475,-4.2016
5497,-0.7002
5525,-2.9983
5543,2.2992
5550,-1.4007
5568,6.8982
5585,3.6993
5609,1.5981
