
Training on cuda | logs -> training_logs/run_seed41_config10_fresh_20260529_202900
Config: ..\..\configs\config10.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      42 | Reward:  -5.804 | Avg(100):  -5.804 | Entropy: 0.1000 | Acc: 9.3% (4+ 39-) | Lifetime: 9.3%
Episode     1 | Steps:      65 | Reward:   1.798 | Avg(100):  -2.003 | Entropy: 0.1000 | Acc: 30.4% (7+ 16-) | Lifetime: 16.7%
Episode     2 | Steps:     109 | Reward:  -5.304 | Avg(100):  -3.103 | Entropy: 0.1000 | Acc: 11.4% (5+ 39-) | Lifetime: 14.5%
Episode     3 | Steps:     136 | Reward:  -0.003 | Avg(100):  -2.328 | Entropy: 0.1000 | Acc: 25.9% (7+ 20-) | Lifetime: 16.8%
Episode     4 | Steps:     166 | Reward:  -0.901 | Avg(100):  -2.043 | Entropy: 0.1000 | Acc: 24.1% (7+ 22-) | Lifetime: 18.1%
Episode     5 | Steps:     183 | Reward:   2.700 | Avg(100):  -1.252 | Entropy: 0.1000 | Acc: 47.1% (8+ 9-) | Lifetime: 20.8%
Episode     6 | Steps:     232 | Reward:  -7.303 | Avg(100):  -2.117 | Entropy: 0.1000 | Acc: 10.2% (5+ 44-) | Lifetime: 18.5%
Episode     7 | Steps:     259 | Reward:  -2.900 | Avg(100):  -2.215 | Entropy: 0.0999 | Acc: 18.5% (5+ 22-) | Lifetime: 18.5%
Episode     8 | Steps:     299 | Reward:  -1.404 | Avg(100):  -2.124 | Entropy: 0.0999 | Acc: 20.0% (8+ 32-) | Lifetime: 18.7%
Episode     9 | Steps:     334 | Reward:  -1.603 | Avg(100):  -2.072 | Entropy: 0.0999 | Acc: 20.0% (7+ 28-) | Lifetime: 18.9%
Episode    10 | Steps:     364 | Reward:  -1.102 | Avg(100):  -1.984 | Entropy: 0.0999 | Acc: 23.3% (7+ 23-) | Lifetime: 19.2%
Episode    11 | Steps:     392 | Reward:  -0.701 | Avg(100):  -1.877 | Entropy: 0.0999 | Acc: 25.0% (7+ 21-) | Lifetime: 19.6%
Episode    12 | Steps:     426 | Reward:  -2.602 | Avg(100):  -1.933 | Entropy: 0.0999 | Acc: 17.6% (6+ 28-) | Lifetime: 19.5%
Episode    13 | Steps:     463 | Reward:  -4.702 | Avg(100):  -2.131 | Entropy: 0.0999 | Acc: 16.2% (6+ 31-) | Lifetime: 19.2%
  [Step 500] Action dist: A0:24% | A1:21% | A2:12% | A3:25% | A4:18%
