Step,Reward
42,-5.8043
65,1.7982
109,-5.3039
136,-0.0027
166,-0.9005
183,2.7003
232,-7.3034
259,-2.9002
299,-1.4035
334,-1.6030
362,-1.4013
394,-0.3012
419,-1.3015
465,-7.2036
494,-2.6009
517,-0.0003
549,-3.2997
582,-1.2018
617,-4.5015
656,-2.2024
691,-4.3010
743,-8.8042
777,-1.7024
807,-1.6005
834,-1.7992
864,0.3970
900,-4.1006
936,-2.8026
979,-6.9013
1001,1.8988
1027,-0.0026
1059,-0.3017
1082,0.2987
1111,1.7971
1141,-2.5030
1170,-3.3009
1206,-4.5016
1233,-2.1027
1267,-3.1014
1288,1.3989
1300,0.3993
1324,-1.8004
1363,-4.8024
1386,1.2977
1417,-1.0026
1423,0.6994
1453,0.3970
1487,-3.7034
1519,-2.9032
1521,0.2998
1545,-1.6004
1558,-0.7013
1591,-2.2023
1620,-2.5999
1633,-1.7003
1669,-2.7036
1690,0.9979
1711,0.4984
1726,2.4005
1740,-1.6014
1765,-0.6000
1795,-2.0030
1824,-3.6009
1842,-1.1013
1867,1.3975
1896,-3.0024
1922,-2.7001
1934,-2.0002
1961,-1.9017
1987,1.3979
2019,-1.7022
2044,1.0990
2063,1.6001
2094,-1.0021
2105,-1.0011
2134,-3.3999
2160,-3.4006
2181,1.9979
2208,-2.4987
2220,-2.2012
2238,2.6992
2266,-0.4028
2291,-0.4000
2324,-0.2028
2361,-4.7017
2385,-1.6004
2425,-4.5040
2443,-1.7018
2467,2.2991
2498,-3.2021
2521,0.2992
2552,-3.5011
2591,-6.3009
2623,-3.2012
2655,-3.6022
2672,1.4993
2699,-2.6027
2732,-2.2023
2765,-3.2013
2790,2.5975
2821,-3.4021
2845,-0.1019
2867,3.6978
2899,-3.0002
2931,-4.1012
2940,-0.4009
2965,1.0980
2970,0.3995
2985,1.7000
3009,1.0976
3029,-1.9020
3058,0.0981
3087,-1.5029
3111,2.7976
3127,2.2014
3152,-1.5005
3182,-3.2020
3201,2.5986
3228,-1.0017
3247,1.1001
3272,1.0990
3301,-0.0004
3331,-1.3030
3345,4.5986
3371,-0.3021
3389,4.9982
3413,2.7976
3437,1.0986
3464,-1.5002
3492,-0.2023
3516,-0.1009
3536,1.3995
3561,-1.8015
3586,-1.0015
3609,-0.7003
3632,-0.3023
3660,-1.2018
3688,-1.1028
3712,0.2986
3731,2.5996
3754,-0.1013
3777,-1.8013
3803,-0.0021
3825,-0.4012
3852,-0.7027
3864,-2.4012
3901,-2.9037
3923,0.6998
3947,4.6976
3967,1.1990
3992,1.3975
4021,-0.9014
4033,-0.5012
4056,0.5977
4062,-1.2006
4093,-2.0026
4107,4.0991
4137,-2.0030
4163,-2.2011
4186,-0.4008
4208,1.0978
4237,-0.2014
4260,0.0982
4281,1.1979
4302,1.7979
4332,-1.8020
4369,-4.1037
4393,0.5986
4412,3.0991
4444,-3.6017
4476,-1.5032
4506,-0.1020
4529,2.7977
4554,1.0980
4580,-2.4016
4613,-3.1023
4632,1.4996
4666,-3.5034
4694,-1.7008
4725,-0.7031
4749,1.3976
4773,0.1006
4798,-2.2995
4823,-1.5025
4836,0.9987
4872,-1.5036
4902,-1.5030
4926,3.2976
4946,4.0980
