Step,Correct,Wrong
42,4,39
65,7,16
109,5,39
136,7,20
166,7,22
183,8,9
232,5,44
259,5,22
300,9,32
309,2,7
340,5,25
375,6,29
417,6,36
448,7,24
466,3,15
490,7,17
517,8,19
549,8,24
582,7,26
618,5,31
656,7,31
699,6,37
733,8,26
761,8,20
785,6,17
823,7,31
843,7,13
866,9,14
896,9,21
925,7,22
952,8,19
966,2,12
1004,5,33
1039,6,29
1077,6,32
1090,4,9
1118,7,21
1145,3,24
1181,4,32
1226,5,38
1268,5,37
1299,8,23
1328,6,23
1360,6,26
1379,7,12
1400,7,14
1422,4,18
1444,7,15
1476,4,28
1504,7,21
1529,7,18
1554,8,17
1587,6,26
1623,7,29
1649,5,21
1689,4,35
1716,3,24
1748,3,29
1780,6,25
1808,7,21
1829,8,13
1841,2,10
1871,5,25
1878,2,5
1900,7,15
1935,4,30
1946,4,7
1982,6,30
2018,7,29
2053,6,29
2081,7,21
2110,6,23
2140,5,25
2168,3,25
2193,6,19
2206,4,9
2232,6,20
2265,7,26
2292,6,21
2321,6,23
2355,5,29
2374,8,11
2420,5,41
2430,5,5
2462,4,28
2498,6,30
2526,8,20
2540,0,14
2577,6,31
2605,6,22
2629,7,17
2663,4,30
2692,4,25
2722,8,22
2744,7,15
2772,8,20
2796,7,16
2829,3,29
2858,6,23
2876,8,10
2897,4,17
2905,1,7
2936,6,25
2964,7,21
2984,6,14
3013,7,22
3033,7,13
3060,7,20
3077,7,10
3109,5,27
3136,5,22
3164,7,20
3170,1,5
3195,5,20
3227,5,26
3249,7,15
3270,8,13
3304,6,28
3334,5,24
3353,6,13
3382,5,24
3411,5,24
3436,7,18
3459,7,16
3482,8,15
3498,4,12
3524,6,20
3542,5,13
3568,6,20
3582,9,5
3613,6,24
3616,1,2
3642,5,21
3667,6,19
3693,5,21
3721,5,23
3755,3,29
3776,7,14
3798,6,16
3825,8,19
3851,4,22
3880,5,24
3905,7,18
3933,5,23
3957,6,18
3983,4,22
4000,3,14
