
Training on cuda | logs -> training_logs/run_seed42_config4 (2)_fresh_20260529_231709
Config: ..\..\configs\config4 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      27 | Reward:   0.498 | Avg(100):   0.498 | Entropy: 0.1000 | Acc: 28.6% (8+ 20-) | Lifetime: 28.6%
Episode     1 | Steps:      55 | Reward:  -1.901 | Avg(100):  -0.701 | Entropy: 0.1000 | Acc: 21.4% (6+ 22-) | Lifetime: 25.0%
Episode     2 | Steps:      84 | Reward:  -1.602 | Avg(100):  -1.002 | Entropy: 0.1000 | Acc: 20.7% (6+ 23-) | Lifetime: 23.5%
Episode     3 | Steps:     118 | Reward:  -4.601 | Avg(100):  -1.901 | Entropy: 0.1000 | Acc: 15.2% (5+ 28-) | Lifetime: 21.2%
Episode     4 | Steps:     151 | Reward:  -2.603 | Avg(100):  -2.042 | Entropy: 0.1000 | Acc: 15.2% (5+ 28-) | Lifetime: 19.9%
Episode     5 | Steps:     188 | Reward:  -3.903 | Avg(100):  -2.352 | Entropy: 0.1000 | Acc: 13.5% (5+ 32-) | Lifetime: 18.6%
Episode     6 | Steps:     218 | Reward:  -1.302 | Avg(100):  -2.202 | Entropy: 0.1000 | Acc: 20.0% (6+ 24-) | Lifetime: 18.8%
Episode     7 | Steps:     247 | Reward:  -2.102 | Avg(100):  -2.189 | Entropy: 0.1000 | Acc: 20.7% (6+ 23-) | Lifetime: 19.0%
Episode     8 | Steps:     281 | Reward:  -3.803 | Avg(100):  -2.369 | Entropy: 0.0999 | Acc: 14.7% (5+ 29-) | Lifetime: 18.5%
Episode     9 | Steps:     313 | Reward:  -1.702 | Avg(100):  -2.302 | Entropy: 0.0999 | Acc: 18.8% (6+ 26-) | Lifetime: 18.5%
Episode    10 | Steps:     350 | Reward:  -2.404 | Avg(100):  -2.311 | Entropy: 0.0999 | Acc: 13.5% (5+ 32-) | Lifetime: 18.0%
Episode    11 | Steps:     396 | Reward:  -5.005 | Avg(100):  -2.536 | Entropy: 0.0999 | Acc: 11.1% (5+ 40-) | Lifetime: 17.2%
Episode    12 | Steps:     424 | Reward:  -1.001 | Avg(100):  -2.418 | Entropy: 0.0999 | Acc: 28.6% (8+ 20-) | Lifetime: 18.0%
Episode    13 | Steps:     445 | Reward:   2.599 | Avg(100):  -2.059 | Entropy: 0.0999 | Acc: 42.9% (9+ 12-) | Lifetime: 19.1%
Episode    14 | Steps:     473 | Reward:  -1.401 | Avg(100):  -2.015 | Entropy: 0.0999 | Acc: 21.4% (6+ 22-) | Lifetime: 19.3%
  [Step 500] Action dist: A0:22% | A1:17% | A2:22% | A3:22% | A4:17%
Episode    15 | Steps:     504 | Reward:  -0.602 | Avg(100):  -1.927 | Entropy: 0.0999 | Acc: 25.8% (8+ 23-) | Lifetime: 19.7%
Episode    16 | Steps:     555 | Reward:  -8.805 | Avg(100):  -2.332 | Entropy: 0.0997 | Acc: 3.9% (2+ 49-) | Lifetime: 18.2%
Episode    17 | Steps:     579 | Reward:   0.398 | Avg(100):  -2.180 | Entropy: 0.0997 | Acc: 25.0% (6+ 18-) | Lifetime: 18.5%
Episode    18 | Steps:     602 | Reward:  -1.200 | Avg(100):  -2.128 | Entropy: 0.0997 | Acc: 30.4% (7+ 16-) | Lifetime: 19.0%
Episode    19 | Steps:     639 | Reward:  -3.002 | Avg(100):  -2.172 | Entropy: 0.0997 | Acc: 18.9% (7+ 30-) | Lifetime: 19.0%
Episode    20 | Steps:     668 | Reward:  -2.802 | Avg(100):  -2.202 | Entropy: 0.0997 | Acc: 17.2% (5+ 24-) | Lifetime: 18.9%
Episode    21 | Steps:     690 | Reward:   3.198 | Avg(100):  -1.957 | Entropy: 0.0997 | Acc: 36.4% (8+ 14-) | Lifetime: 19.4%
Episode    22 | Steps:     711 | Reward:   2.600 | Avg(100):  -1.759 | Entropy: 0.0997 | Acc: 42.9% (9+ 12-) | Lifetime: 20.1%
Episode    23 | Steps:     757 | Reward:  -7.604 | Avg(100):  -2.002 | Entropy: 0.0997 | Acc: 6.5% (3+ 43-) | Lifetime: 19.3%
Episode    24 | Steps:     784 | Reward:   0.997 | Avg(100):  -1.882 | Entropy: 0.0996 | Acc: 25.9% (7+ 20-) | Lifetime: 19.5%
Episode    25 | Steps:     808 | Reward:   2.098 | Avg(100):  -1.729 | Entropy: 0.0996 | Acc: 29.2% (7+ 17-) | Lifetime: 19.8%
Episode    26 | Steps:     822 | Reward:  -1.901 | Avg(100):  -1.735 | Entropy: 0.0996 | Acc: 14.3% (2+ 12-) | Lifetime: 19.7%
Episode    27 | Steps:     845 | Reward:  -1.101 | Avg(100):  -1.713 | Entropy: 0.0996 | Acc: 21.7% (5+ 18-) | Lifetime: 19.8%
Episode    28 | Steps:     890 | Reward:  -4.203 | Avg(100):  -1.799 | Entropy: 0.0996 | Acc: 18.2% (8+ 36-) | Lifetime: 19.7%
Episode    29 | Steps:     911 | Reward:   1.999 | Avg(100):  -1.672 | Entropy: 0.0996 | Acc: 28.6% (6+ 15-) | Lifetime: 19.9%
Episode    30 | Steps:     938 | Reward:  -0.502 | Avg(100):  -1.634 | Entropy: 0.0996 | Acc: 25.9% (7+ 20-) | Lifetime: 20.1%
Episode    31 | Steps:     967 | Reward:   0.798 | Avg(100):  -1.558 | Entropy: 0.0996 | Acc: 27.6% (8+ 21-) | Lifetime: 20.3%
Episode    32 | Steps:     994 | Reward:  -1.903 | Avg(100):  -1.569 | Entropy: 0.0996 | Acc: 18.5% (5+ 22-) | Lifetime: 20.3%
  [Step 1000] Action dist: A0:20% | A1:17% | A2:28% | A3:16% | A4:19%
Episode    33 | Steps:    1026 | Reward:  -2.001 | Avg(100):  -1.581 | Entropy: 0.0995 | Acc: 21.9% (7+ 25-) | Lifetime: 20.3%
Episode    34 | Steps:    1057 | Reward:  -0.303 | Avg(100):  -1.545 | Entropy: 0.0995 | Acc: 20.0% (6+ 24-) | Lifetime: 20.3%
Episode    35 | Steps:    1082 | Reward:  -1.302 | Avg(100):  -1.538 | Entropy: 0.0995 | Acc: 24.0% (6+ 19-) | Lifetime: 20.4%
Episode    36 | Steps:    1101 | Reward:  -0.398 | Avg(100):  -1.507 | Entropy: 0.0995 | Acc: 36.8% (7+ 12-) | Lifetime: 20.7%
Episode    37 | Steps:    1125 | Reward:   1.599 | Avg(100):  -1.426 | Entropy: 0.0995 | Acc: 29.2% (7+ 17-) | Lifetime: 20.9%
Episode    38 | Steps:    1145 | Reward:   1.899 | Avg(100):  -1.340 | Entropy: 0.0995 | Acc: 35.0% (7+ 13-) | Lifetime: 21.1%
Episode    39 | Steps:    1177 | Reward:  -1.403 | Avg(100):  -1.342 | Entropy: 0.0995 | Acc: 15.6% (5+ 27-) | Lifetime: 21.0%
Episode    40 | Steps:    1199 | Reward:   2.499 | Avg(100):  -1.248 | Entropy: 0.0995 | Acc: 31.8% (7+ 15-) | Lifetime: 21.2%
Episode    41 | Steps:    1231 | Reward:  -2.001 | Avg(100):  -1.266 | Entropy: 0.0995 | Acc: 21.9% (7+ 25-) | Lifetime: 21.2%
