
Training on cuda | logs -> training_logs/run_seed42_config6 (2)_fresh_20260529_234131
Config: ..\..\configs\config6 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      26 | Reward:  -0.203 | Avg(100):  -0.203 | Entropy: 0.3000 | Acc: 22.2% (6+ 21-) | Lifetime: 22.2%
Episode     1 | Steps:      53 | Reward:   0.297 | Avg(100):   0.047 | Entropy: 0.3000 | Acc: 22.2% (6+ 21-) | Lifetime: 22.2%
Episode     2 | Steps:      77 | Reward:  -1.997 | Avg(100):  -0.634 | Entropy: 0.3000 | Acc: 37.5% (9+ 15-) | Lifetime: 26.9%
Episode     3 | Steps:     112 | Reward:  -5.001 | Avg(100):  -1.726 | Entropy: 0.3000 | Acc: 11.8% (4+ 30-) | Lifetime: 22.3%
Episode     4 | Steps:     122 | Reward:  -2.001 | Avg(100):  -1.781 | Entropy: 0.3000 | Acc: 0.0% (0+ 10-) | Lifetime: 20.5%
Episode     5 | Steps:     151 | Reward:  -2.003 | Avg(100):  -1.818 | Entropy: 0.3000 | Acc: 13.8% (4+ 25-) | Lifetime: 19.2%
Episode     6 | Steps:     180 | Reward:  -2.802 | Avg(100):  -1.959 | Entropy: 0.3000 | Acc: 17.2% (5+ 24-) | Lifetime: 18.9%
Episode     7 | Steps:     209 | Reward:  -3.702 | Avg(100):  -2.176 | Entropy: 0.3000 | Acc: 10.3% (3+ 26-) | Lifetime: 17.7%
Episode     8 | Steps:     247 | Reward:  -4.304 | Avg(100):  -2.413 | Entropy: 0.3000 | Acc: 10.5% (4+ 34-) | Lifetime: 16.6%
Episode     9 | Steps:     281 | Reward:  -3.803 | Avg(100):  -2.552 | Entropy: 0.2996 | Acc: 14.7% (5+ 29-) | Lifetime: 16.4%
Episode    10 | Steps:     319 | Reward:  -4.602 | Avg(100):  -2.738 | Entropy: 0.2996 | Acc: 13.2% (5+ 33-) | Lifetime: 16.0%
Episode    11 | Steps:     361 | Reward:  -5.104 | Avg(100):  -2.935 | Entropy: 0.2996 | Acc: 9.5% (4+ 38-) | Lifetime: 15.2%
Episode    12 | Steps:     400 | Reward:  -2.903 | Avg(100):  -2.933 | Entropy: 0.2996 | Acc: 17.9% (7+ 32-) | Lifetime: 15.5%
Episode    13 | Steps:     431 | Reward:  -2.502 | Avg(100):  -2.902 | Entropy: 0.2996 | Acc: 19.4% (6+ 25-) | Lifetime: 15.8%
Episode    14 | Steps:     463 | Reward:  -3.603 | Avg(100):  -2.949 | Entropy: 0.2996 | Acc: 12.5% (4+ 28-) | Lifetime: 15.6%
  [Step 500] Action dist: A0:22% | A1:16% | A2:18% | A3:19% | A4:24%
Episode    15 | Steps:     505 | Reward:  -5.203 | Avg(100):  -3.090 | Entropy: 0.2996 | Acc: 14.3% (6+ 36-) | Lifetime: 15.4%
Episode    16 | Steps:     534 | Reward:  -3.800 | Avg(100):  -3.132 | Entropy: 0.2991 | Acc: 17.2% (5+ 24-) | Lifetime: 15.5%
Episode    17 | Steps:     561 | Reward:   1.198 | Avg(100):  -2.891 | Entropy: 0.2991 | Acc: 29.6% (8+ 19-) | Lifetime: 16.2%
Episode    18 | Steps:     586 | Reward:  -2.501 | Avg(100):  -2.870 | Entropy: 0.2991 | Acc: 20.0% (5+ 20-) | Lifetime: 16.4%
Episode    19 | Steps:     615 | Reward:  -0.702 | Avg(100):  -2.762 | Entropy: 0.2991 | Acc: 25.0% (7+ 21-) | Lifetime: 16.8%
Episode    20 | Steps:     651 | Reward:  -4.903 | Avg(100):  -2.864 | Entropy: 0.2991 | Acc: 11.1% (4+ 32-) | Lifetime: 16.5%
Episode    21 | Steps:     701 | Reward:  -5.805 | Avg(100):  -2.998 | Entropy: 0.2991 | Acc: 12.0% (6+ 44-) | Lifetime: 16.1%
Episode    22 | Steps:     744 | Reward:  -4.902 | Avg(100):  -3.080 | Entropy: 0.2991 | Acc: 14.0% (6+ 37-) | Lifetime: 16.0%
Episode    23 | Steps:     783 | Reward:  -1.002 | Avg(100):  -2.994 | Entropy: 0.2987 | Acc: 23.1% (9+ 30-) | Lifetime: 16.4%
Episode    24 | Steps:     809 | Reward:   3.597 | Avg(100):  -2.730 | Entropy: 0.2987 | Acc: 34.6% (9+ 17-) | Lifetime: 17.0%
Episode    25 | Steps:     843 | Reward:  -3.602 | Avg(100):  -2.764 | Entropy: 0.2987 | Acc: 15.2% (5+ 28-) | Lifetime: 16.9%
Episode    26 | Steps:     880 | Reward:  -2.801 | Avg(100):  -2.765 | Entropy: 0.2987 | Acc: 21.6% (8+ 29-) | Lifetime: 17.1%
Episode    27 | Steps:     915 | Reward:  -1.103 | Avg(100):  -2.706 | Entropy: 0.2987 | Acc: 20.0% (7+ 28-) | Lifetime: 17.2%
Episode    28 | Steps:     941 | Reward:  -2.001 | Avg(100):  -2.681 | Entropy: 0.2987 | Acc: 23.1% (6+ 20-) | Lifetime: 17.4%
Episode    29 | Steps:     970 | Reward:  -0.701 | Avg(100):  -2.615 | Entropy: 0.2987 | Acc: 27.6% (8+ 21-) | Lifetime: 17.7%
Episode    30 | Steps:     989 | Reward:   0.801 | Avg(100):  -2.505 | Entropy: 0.2987 | Acc: 42.1% (8+ 11-) | Lifetime: 18.1%
  [Step 1000] Action dist: A0:22% | A1:20% | A2:18% | A3:14% | A4:26%
Episode    31 | Steps:    1028 | Reward:  -2.904 | Avg(100):  -2.518 | Entropy: 0.2983 | Acc: 15.8% (6+ 32-) | Lifetime: 18.0%
Episode    32 | Steps:    1058 | Reward:  -1.601 | Avg(100):  -2.490 | Entropy: 0.2983 | Acc: 23.3% (7+ 23-) | Lifetime: 18.2%
Episode    33 | Steps:    1087 | Reward:   0.798 | Avg(100):  -2.393 | Entropy: 0.2983 | Acc: 27.6% (8+ 21-) | Lifetime: 18.5%
Episode    34 | Steps:    1109 | Reward:   1.999 | Avg(100):  -2.268 | Entropy: 0.2983 | Acc: 31.8% (7+ 15-) | Lifetime: 18.7%
Episode    35 | Steps:    1114 | Reward:  -1.001 | Avg(100):  -2.233 | Entropy: 0.2983 | Acc: 0.0% (0+ 5-) | Lifetime: 18.6%
