Step,Correct,Wrong
26,6,21
53,6,21
77,9,15
112,4,30
122,0,10
151,4,25
180,5,24
209,3,26
247,4,34
281,5,29
319,5,33
361,4,38
403,6,36
431,6,22
463,4,28
505,6,36
534,5,24
561,8,19
586,5,20
615,7,21
655,3,37
701,7,39
744,6,37
783,9,30
809,9,17
843,5,28
880,8,29
900,6,14
932,6,25
965,7,26
972,1,5
1005,7,26
1037,6,26
1068,6,25
1102,8,25
1125,7,16
1149,7,16
1183,5,29
1206,6,16
1235,8,20
1266,6,25
1289,6,17
1316,8,19
1347,5,25
1373,5,20
1398,7,18
1426,7,21
1462,7,29
1487,6,19
1506,6,13
1522,4,12
1561,5,34
1565,1,3
1585,7,13
1609,6,18
1639,4,26
1670,4,27
1701,6,25
1727,7,19
1750,6,17
1773,8,15
1809,3,33
1835,6,20
1872,6,31
1900,5,23
1935,6,29
1966,4,27
1975,2,7
1998,5,18
2006,1,6
2033,7,20
2071,5,31
2088,6,11
2108,7,13
2128,7,13
2161,6,27
2188,6,21
2216,5,22
2246,7,23
2273,6,21
2304,7,24
2332,5,23
2364,6,26
2400,8,27
2404,0,4
2432,5,23
2473,4,37
2499,5,21
2526,8,19
2551,7,18
2558,3,4
2586,7,20
2613,7,20
2639,6,20
2673,4,30
2692,1,18
2719,6,21
2749,5,25
2770,7,14
2803,6,27
2833,7,22
2855,6,16
2861,1,5
2885,4,20
2903,0,18
2930,6,21
2954,7,17
2983,6,23
3004,5,16
3033,6,22
3057,6,18
3089,7,25
3114,7,18
3136,8,14
3162,8,18
3179,7,10
3207,4,24
3232,6,19
3256,7,17
3286,6,24
3308,6,16
3334,8,18
3346,1,10
3355,3,6
3381,5,20
3411,5,25
3437,8,18
3463,7,19
3484,8,13
3511,6,21
3539,6,21
3564,6,19
3593,6,23
3602,1,8
3628,6,19
3648,4,16
3674,6,20
3701,5,21
3718,2,15
3744,5,21
3756,3,9
3786,7,23
3806,6,14
3832,6,20
3837,2,3
3864,5,22
3894,5,25
3920,4,22
3934,1,13
3954,8,12
3990,6,30
4024,6,28
4046,8,14
4066,9,11
4102,3,31
4121,8,11
4136,8,7
4156,7,13
4179,8,15
4208,6,23
4232,8,16
4239,1,6
4280,4,37
4304,10,14
4318,0,14
4333,8,7
4356,8,14
4375,9,10
4398,8,15
4420,7,15
4438,7,11
4465,2,25
4497,4,28
4523,8,18
4541,8,10
4561,3,17
4582,8,13
4603,6,15
4620,7,10
4642,6,16
4665,6,17
4698,7,26
4722,6,18
4751,5,24
4776,8,17
4799,4,19
4831,5,27
4839,3,5
4858,7,12
4888,5,25
4911,8,14
4934,7,16
4957,7,16
4987,4,26
5008,7,14
5033,7,18
5058,7,18
5087,5,23
5107,3,17
5131,7,17
5153,8,14
5182,8,21
5197,7,8
5224,6,21
5253,3,26
5278,8,17
5309,6,25
5312,0,3
5340,6,22
5363,8,14
5386,7,15
5406,5,15
5409,1,2
5427,6,12
5450,5,18
5476,7,19
5499,5,17
5517,7,11
5537,10,10
5561,6,17
5588,5,22
5611,8,15
5642,4,26
5668,6,20
5690,7,15
5710,7,13
5740,6,24
5756,3,13
5773,8,9
5792,7,12
5822,4,26
5841,6,13
5844,1,2
5849,0,5
5874,8,17
5897,6,17
5923,6,20
5959,2,34
5988,5,24
6006,8,10
6030,7,17
6050,8,12
6079,7,21
6089,4,6
6109,7,13
6140,5,26
6167,8,18
6194,4,23
6198,0,4
6223,6,19
6260,6,28
6265,0,5
6295,5,25
6323,4,24
6340,8,8
6353,10,3
6374,7,14
6396,7,15
6416,6,14
6443,7,20
6463,7,13
6486,8,14
6502,8,8
6523,3,18
6545,7,15
6568,7,16
6595,8,19
6624,6,23
6652,7,20
6684,6,26
6708,8,16
6734,8,17
6755,7,14
6786,9,22
6812,6,20
6839,7,20
6859,8,12
6885,7,19
6906,7,14
6930,6,18
6949,7,12
6967,9,9
7003,3,33
7028,7,18
7061,4,29
7089,6,22
7108,7,12
7141,5,28
7174,5,28
7193,8,11
7209,7,9
7229,7,13
7263,5,29
7282,8,11
7301,7,12
7325,7,17
7347,7,15
7375,5,23
7402,7,20
7421,7,12
7441,6,14
7448,1,6
7472,5,19
7491,5,14
7517,5,21
7534,7,10
7560,5,21
7582,7,15
7586,0,4
7611,7,18
7635,6,17
7661,6,20
7687,6,20
7710,6,17
7741,5,26
7765,7,17
7788,10,13
7814,6,20
7840,5,21
7863,6,17
7884,8,13
7912,6,22
7940,5,23
7974,6,28
7990,7,9
8012,8,14
8035,7,16
8055,9,11
8082,5,22
8110,4,24
8136,7,19
8159,6,17
8184,7,18
8198,8,6
8220,9,13
8251,6,25
8277,6,20
8299,6,16
8309,5,5
8335,5,21
8358,7,16
8377,8,11
8399,6,16
8420,7,14
8441,7,14
8467,6,20
8497,4,26
8512,9,6
8541,4,25
8571,4,24
8594,5,18
8617,5,18
8633,7,9
8657,8,16
8678,5,16
8682,1,3
8702,8,11
8732,5,25
8751,8,11
8774,6,17
8798,5,19
8825,6,20
8848,7,15
8876,5,23
8907,5,26
8930,6,17
8949,1,18
8970,6,15
9003,5,28
9029,5,21
9053,8,16
9089,5,30
9123,5,29
9143,7,13
9165,7,15
9188,8,15
9211,7,16
9235,8,15
9263,6,22
9285,7,15
9305,9,11
9321,6,10
9347,5,21
9370,8,15
9385,7,8
9405,7,13
9425,8,12
9453,7,21
9474,8,13
9496,8,14
9512,11,5
9540,6,22
9561,6,15
9581,7,13
9603,7,15
9628,7,18
9652,7,17
9670,8,10
9693,5,18
9716,5,18
9744,5,22
9767,6,17
9802,4,31
9827,5,20
9851,8,16
9872,7,14
9896,7,17
9920,7,17
9941,6,15
9961,6,14
9983,7,15
10015,5,27
10038,7,16
10058,9,11
10079,5,16
10103,7,17
10133,8,22
10154,6,15
10181,7,20
10203,8,14
10240,4,32
10253,10,3
10282,5,24
10302,7,13
10328,7,19
10351,9,14
10381,5,25
10397,9,7
10428,8,22
10439,5,6
10466,6,21
10497,6,24
10518,6,15
10552,5,29
10568,1,15
10596,6,22
10621,7,18
10651,6,24
10658,0,7
10677,6,13
10706,6,23
10709,0,3
10728,6,13
10742,7,7
10759,8,9
10792,3,30
10801,3,6
10831,4,26
10847,9,7
10869,9,13
10893,6,18
10915,6,16
10932,9,8
10952,7,13
10988,2,33
11011,8,15
11033,5,17
11066,4,27
11093,6,21
11109,9,7
11129,7,12
11160,6,25
11181,6,14
11206,5,20
11237,7,24
11263,6,20
11294,5,26
11313,8,11
11344,5,26
11359,4,11
11382,5,18
11406,6,18
11427,8,12
11447,8,12
11474,7,19
11505,5,25
11528,8,15
11531,0,3
11547,7,9
11571,7,16
11593,7,15
11613,8,12
11633,9,11
11652,6,13
11675,7,16
11705,7,23
11739,4,30
11760,8,13
11792,4,27
11795,0,3
11815,4,16
11833,7,11
11855,6,16
11880,8,17
11907,5,22
11933,6,20
11951,7,11
11977,7,19
11994,10,7
11998,0,4
12028,4,25
12049,8,13
12075,7,19
12099,6,18
12123,7,17
12146,6,16
12163,8,9
12191,4,24
12214,6,17
12240,5,21
12272,7,25
12291,6,13
12307,1,14
12325,6,12
12344,7,11
12367,9,14
12390,7,16
12412,7,15
12435,8,15
12459,10,14
12477,7,11
12492,7,8
12511,8,11
12539,6,22
12564,4,21
12583,7,12
12612,7,20
12643,5,26
12668,7,18
12688,4,16
12711,4,19
12733,8,13
12751,7,11
12768,9,8
12792,6,18
12820,5,23
12845,5,19
12867,8,14
12884,9,8
12903,6,13
12912,1,8
12948,6,29
12968,8,12
12996,5,23
12999,1,2
13020,7,14
13048,6,22
13063,9,6
13088,9,16
13107,7,12
13129,8,14
13145,8,8
13170,6,19
13193,6,17
13217,8,16
13237,7,13
13257,7,13
13278,7,14
13305,6,21
13323,7,11
13343,4,16
13370,8,19
13388,7,11
13413,6,19
13438,10,15
13461,7,15
13478,9,8
13507,6,23
13528,6,15
13551,9,14
13580,4,25
13609,5,23
13643,3,31
13672,5,23
13679,3,4
13706,6,21
13725,8,11
13751,5,21
13777,8,18
13792,7,8
13809,6,11
13825,7,9
13848,8,15
13884,7,29
13905,6,15
13943,4,34
13961,10,8
13992,7,24
14006,7,7
14026,8,12
14045,7,12
14064,8,10
14083,9,10
14096,7,6
14118,8,14
14139,5,16
14159,8,12
14181,7,15
14196,8,7
14213,7,10
14239,6,20
14256,7,10
14281,7,16
14307,6,20
14334,5,22
14354,7,13
14375,8,13
14393,7,11
14418,6,19
14434,7,9
14464,7,23
14496,6,26
14515,7,12
14531,8,8
14557,4,22
14575,8,10
14593,7,11
14609,7,9
14630,8,13
14660,6,24
14693,4,29
14717,5,19
14744,6,21
14775,5,26
14797,8,14
14817,7,13
14836,8,11
14855,8,11
14875,6,14
14890,9,6
14895,1,4
14911,7,9
14929,7,11
14952,7,16
14967,8,7
14985,7,11
15006,8,13
15022,9,7
15028,0,6
15062,8,26
15086,5,19
15104,8,10
15126,7,15
15152,7,19
15171,7,12
15189,10,8
15207,9,9
15230,6,17
15245,8,7
15280,7,28
15296,8,8
15317,7,14
15344,6,21
15367,7,16
15378,1,10
15399,9,12
15428,9,20
15444,7,9
15464,7,13
15488,9,15
15509,7,14
15529,8,12
15547,8,10
15568,7,14
15599,6,25
15624,5,20
15636,9,3
15650,8,6
15680,5,25
15699,7,12
15713,8,6
15728,9,6
15758,9,21
15779,7,14
15795,8,8
15816,8,13
15832,7,9
15849,7,10
15865,1,15
15883,8,10
15898,10,5
15910,9,3
15929,7,12
15952,10,13
15971,7,11
15991,6,14
15994,0,3
16010,9,7
16038,5,23
16056,6,12
16076,7,12
16099,6,17
16124,7,18
16150,6,20
16170,5,15
16196,6,20
16216,8,12
16235,7,12
16253,10,8
16271,7,11
16294,10,13
16311,7,10
16335,8,16
16351,9,7
16378,4,23
16401,7,16
16424,7,16
16451,10,17
16471,8,12
16484,7,6
16503,9,10
16525,6,16
16543,8,10
16549,3,3
16563,8,6
16583,5,15
16607,8,16
16631,6,18
16652,7,14
16666,9,5
16690,7,17
16709,9,10
16728,8,11
16753,7,18
16779,8,18
16801,7,14
16827,8,18
16850,5,18
16866,6,10
16887,9,12
16914,6,21
16936,8,13
16939,1,2
16957,9,9
16968,2,9
16993,7,18
17006,8,5
17029,7,15
17054,8,17
17075,7,14
17092,8,9
17107,8,7
17124,10,7
17149,6,19
17174,6,19
17185,8,3
17209,7,17
17231,7,15
17248,10,7
17260,7,5
17272,10,2
17295,7,16
17306,10,1
17325,7,12
17340,8,7
17359,9,10
17384,6,19
17400,9,7
17419,8,11
17433,10,4
17453,8,12
17474,6,15
17494,8,12
17515,6,15
17529,7,7
17560,8,23
17580,6,14
17607,8,19
17621,9,5
17637,7,9
17653,8,8
17666,9,4
17683,8,9
17701,8,10
17725,8,16
17758,6,27
17778,5,15
17796,8,10
17825,5,24
17847,7,15
17870,7,16
17892,6,16
17904,8,4
17927,8,15
17948,7,14
17962,9,5
17975,8,5
17989,9,5
18003,7,7
18023,8,12
18045,6,16
18058,8,5
18077,7,12
18101,7,17
18119,10,8
18139,6,14
18161,7,15
18188,7,20
18209,9,11
18224,8,7
18245,10,11
18267,7,15
18288,7,14
18304,9,7
18326,9,13
18344,6,12
18360,8,8
18377,9,8
18398,7,14
18408,8,2
18428,7,13
18452,7,17
18478,6,20
18494,8,8
18511,7,10
18530,6,13
18532,1,1
18546,6,8
18572,6,20
18589,8,9
18603,9,5
18617,8,6
18645,8,19
18658,8,5
18676,8,10
18696,9,11
18708,8,4
18729,9,12
18753,5,19
18767,7,7
18788,5,16
18806,8,10
18826,8,12
18846,8,12
18863,8,9
18884,9,12
18899,8,7
18920,6,15
18945,9,16
18972,5,22
18997,6,19
19022,7,18
19040,8,10
19062,7,15
19087,7,18
19100,10,3
19118,6,12
19139,8,13
19155,8,8
19177,7,15
19192,10,5
19213,8,13
19249,5,31
19262,8,5
19284,7,15
19303,8,11
19318,10,5
19337,8,11
19353,7,9
19374,6,14
19388,10,4
19406,6,12
19426,8,12
19444,9,9
19462,7,11
19477,8,7
19500,8,15
19525,8,17
19542,8,9
19559,9,8
19578,7,12
19599,6,15
19619,6,14
19643,7,16
19658,11,4
19674,9,7
19689,9,6
19705,7,9
19721,8,8
19739,8,10
19753,9,5
19783,6,24
19805,7,15
19836,3,28
19853,8,9
19869,9,7
19891,7,15
19913,6,16
19934,6,15
19959,5,20
19972,9,4
19992,8,12
20006,8,6
20028,7,15
20041,7,6
20059,8,10
20075,10,6
20087,10,2
20102,7,8
20118,9,7
20148,7,23
20160,9,3
20179,6,13
20192,9,4
20206,9,5
20213,2,5
20235,5,17
20249,9,4
20269,7,13
20288,10,9
20303,9,6
20318,9,6
20337,7,12
20356,8,11
20366,8,2
20387,8,13
20412,5,20
20432,8,11
20458,8,18
20470,7,5
20489,8,11
20501,2,10
20521,7,13
20537,10,6
20559,7,15
20585,6,20
20605,7,13
20620,10,5
20642,7,15
20660,7,11
20673,10,3
20691,8,10
20707,8,8
20725,8,10
20748,7,16
20765,8,9
20779,10,4
20801,7,15
20814,10,3
20838,8,15
20851,8,5
20869,7,11
20884,10,5
20905,8,13
20921,10,6
20932,8,3
20948,8,8
20963,7,8
20987,7,17
20998,8,3
21012,7,7
21027,9,6
21045,7,11
21064,7,12
21079,10,5
21096,8,9
21121,6,19
21138,7,10
21165,6,21
21180,9,6
21204,7,17
21228,8,16
21256,6,22
21289,8,25
21313,6,18
21327,9,5
21346,8,11
21369,8,15
21387,7,11
21404,10,7
21428,5,19
21446,9,9
21459,8,5
21473,7,7
21500,7,20
21516,9,7
21535,6,13
21554,6,13
21574,7,13
21604,7,23
21619,11,4
21640,6,15
21658,7,11
21674,8,8
21695,9,12
21714,7,12
21731,8,9
21747,9,7
21768,7,14
21781,9,4
21801,6,14
21825,8,16
21837,7,5
21856,9,10
21870,9,5
21897,7,20
21912,9,6
21926,8,6
21949,7,16
21972,5,18
22000,7,21
22015,8,7
22038,8,15
22057,7,12
22080,7,16
22101,8,13
22113,9,3
22133,7,13
22149,8,8
22166,7,10
22179,10,3
22196,9,8
22215,7,12
22230,8,7
22245,10,5
22266,6,15
22291,7,18
22308,8,9
22328,9,10
22346,7,11
22376,5,25
22393,7,10
22415,8,14
22440,7,18
22457,9,7
22487,6,24
22502,7,8
22526,7,17
22539,10,3
22554,8,7
22578,6,18
22594,9,7
22609,6,9
22625,8,8
22643,8,10
22661,8,10
22680,8,11
22694,9,5
22708,10,4
22724,7,9
22738,7,7
22751,10,3
22767,8,8
22781,9,5
22792,9,2
22809,9,8
22827,6,12
22842,7,8
22859,8,9
22875,9,7
22889,8,6
22908,7,12
22926,8,10
22942,8,8
22964,7,15
22984,8,12
23003,8,11
23017,9,5
23031,7,7
23043,5,7
23069,9,17
23081,8,4
23113,6,26
23126,8,5
23141,8,7
23154,10,3
23168,6,8
23191,6,17
23203,10,2
23227,5,19
23251,8,16
23267,9,7
23277,8,2
23295,7,11
23310,8,7
23327,8,9
23340,9,4
23358,7,11
23377,8,10
23394,9,8
23411,8,9
23437,8,18
23449,8,4
23466,8,9
23480,10,4
23503,6,16
23515,9,3
