Step,Reward
26,-0.2027
53,0.2973
77,-1.9969
112,-5.0010
122,-2.0010
151,-2.0029
180,-2.8024
209,-3.7019
247,-4.3038
281,-3.8029
313,-1.7022
350,-2.4037
373,0.0977
402,-3.3989
428,-0.5016
451,-1.8013
454,0.0997
482,0.2977
511,-0.2019
549,-4.8023
556,-1.4007
577,0.1994
609,-2.4022
630,-1.4021
662,-1.9032
691,-1.9019
724,-2.2018
752,-1.7013
772,1.1985
809,-4.4032
850,-5.4041
903,-7.8053
932,-1.8019
964,-2.5017
981,-2.2017
1025,-5.3044
1078,-7.1048
1104,-1.2021
1133,-0.4024
1160,-1.5017
1181,0.2009
1218,0.3978
1241,0.4997
1268,-1.9017
1299,-2.5016
1331,-1.2032
1351,-2.2000
1376,-1.1015
1403,-0.2027
1426,-2.3008
1452,-3.1016
1475,0.5977
1500,0.3980
1522,-3.5017
1548,-2.0011
1578,-0.6020
1609,-1.0021
1639,-3.7020
1671,-0.5032
1690,1.8991
1721,-0.5031
1754,-3.4023
1780,1.3989
1823,-6.8033
1845,-0.4997
1865,0.6995
1881,-2.3011
1906,0.6980
1946,-5.0030
1977,-1.1016
2004,0.7978
2038,-3.4014
2069,-1.5026
2094,-1.1010
2123,-0.9009
2161,-2.6038
2197,-2.7031
2231,-3.3029
2260,-2.6024
2292,-2.9022
2328,-2.7031
2354,-0.5016
2384,-2.3010
2408,0.5991
2436,-1.9023
2443,-1.4007
2483,-6.2025
2504,2.6979
2537,-1.3018
2559,-1.6992
2583,-1.3014
2606,2.7977
2627,2.8989
2652,1.3975
2683,-2.9031
2707,-0.6019
2732,2.0975
2737,-1.0005
2757,2.3980
2759,0.2998
2779,-0.5990
2806,0.1983
2822,-0.9001
2828,-0.0006
2837,-0.6994
2858,-1.2021
2861,0.0997
2884,-0.6018
2920,-2.5036
2947,1.4973
2988,-4.7041
3014,-1.0016
3032,3.9987
3039,-0.7007
3060,2.1989
3097,-3.4032
3123,-0.3026
3147,0.5981
3174,0.4983
3194,3.2990
3216,0.0978
3234,3.4992
3237,-0.6003
3269,-1.9032
3294,-0.1015
3325,1.3969
3352,-1.4022
3378,-2.5016
3403,-0.8010
3420,-2.0012
3445,-0.5025
3451,0.6994
3468,3.6983
3490,1.1988
3509,0.3991
3538,1.7976
3569,-1.0031
3599,-3.2020
3622,-2.5013
3651,-0.2024
3677,1.3999
3705,1.0972
3734,-0.6029
3759,-0.5015
3794,-4.0025
3814,1.8985
3836,4.3983
3864,0.2982
3894,-2.0025
3922,-1.6028
3956,-1.9029
3976,1.6000
3996,0.9000
4030,-2.1014
4055,3.4980
4082,-1.7022
4109,-0.7022
4133,3.0976
4166,-5.8003
4194,0.9972
4217,-1.1013
4244,-3.4007
4274,-1.8020
4304,-1.4005
4338,-3.5034
4358,2.3985
4380,1.4978
4399,0.6981
4426,0.4983
4448,1.6993
4474,-0.0016
4506,-2.4027
4514,1.6992
4536,-1.4012
4566,-1.5030
4597,-1.7031
4617,1.8980
4642,0.3975
4658,2.4994
4686,2.3977
4708,2.4988
4744,-2.9036
4771,0.2983
4791,1.8985
4815,-0.1019
4836,0.9984
4844,-0.9008
4847,0.0997
4878,-3.0011
4910,-4.1027
4937,-1.7012
4962,-0.8025
4990,-1.6018
5024,-1.8034
5046,2.6978
5076,-3.0025
5105,-0.1029
5130,-1.0015
5162,-2.7027
5198,-2.0036
5217,3.5986
5242,1.8975
5267,0.3975
5294,-0.7022
5312,2.4992
5345,-0.7018
5350,-0.3005
5374,0.6976
5397,1.2002
5420,0.9992
5444,0.3011
5447,0.0997
5468,0.9979
5481,0.1992
5518,-3.9037
5531,-1.2008
5546,-2.3015
5549,0.0997
5569,0.4005
5591,0.7978
5616,0.4975
5640,0.8981
5668,-0.0003
5694,-0.2026
5713,0.8991
5739,-2.4991
5764,-0.6015
5786,0.7978
5818,-2.6032
5841,2.6987
